trend;Скорость реагирования;place_total_fail;place_total_letters;link_numbers;severity;google_rating;place_id;name;place_fail_rel_size;site;rating
0.0;38.0;2.0;57.0;61.0;0.3333333333333333;5.0;ChIJBW-HVze1SkERmWo9580bjhU;"Федеральное государственное унитарное предприятие ""Московский эндокринный завод""";0.008733624454148471;http://endopharm.ru/;0.11402231926249395
0.0;;4.0;26.0;70.0;0.8888888888888888;0.9999999999999998;ChIJC9qlt9MstUYRmvj5LMf-JFY;Фармацевтическая компания Цисин;0.0035460992907801413;http://www.canonpharma.ru/;0.5641449960598897
0.0;;1.0;83.0;24.0;1.0;3.0;ChIJF-Pu0AhKtUYRMRDoV0f0WPI;"Закрытое акционерное общество ""АЛСИ Фарма""";0.022222222222222227;http://www.alsi.ru/;0.4740740740740741
1.0;;3.0;7.0;46.0;1.0;5.0;ChIJFfC6-Ck5tUYR8_cDq_aEqeI;"Федеральное государственное унитарное предприятие Научно-производственный центр ""Фармзащита"" Федерального медико-биологического агентства (ФГУП НПЦ ""Фармзащита"" ФМБА России)";0.02197802197802198;http://atompharm.ru/;0.3406593406593406
0.0;;3.0;15.0;9.0;0.8888888888888888;;ChIJGTxC5wxLtUYRe5GfEKUONRk;Лаборатории Галдерма;0.2;http://www.medd.ru/;0.5296296296296296
0.0;;4.0;14.0;2.0;0.6666666666666666;4.5;ChIJHTRqI8LKSkERuw4Luplp0K0;государственное  учреждение  здравоохранения «Свердловская областная станция переливания крови»;0.040816326530612235;http://mospk.life/;0.2691609977324263
1.0;66.0;3.0;40.0;142.0;0.3703703703703704;5.0;ChIJI3pnC8A2tUYRELgrYngPJCg;"Общество с ограниченной ответственностью ""Компания ""Деко""";0.013888888888888888;http://www.dekopharm.ru/;0.12808641975308646
0.0;118.0;41.0;48.0;88.0;0.2222222222222222;;ChIJI4yfn75OtUYRGG4VQOaQWXs;Эгис Фармацевтический завод ОАО [Будапешт, Керестури];0.003846153846153847;http://www.egis.ru/;0.24202279202279198
0.0;;2.0;2.0;34.0;0.4444444444444444;;ChIJITU6Ti-zSkEREcJQfX75OXU;Партнер ЗАО;0.03333333333333333;http://www.partner.com.ru/;0.3259259259259259
0.0;;1.0;;;1.0;5.0;ChIJIxJ6_9a0SkER5Oehq-81Kg8;"ООО ""ЭкоФармИнвест""";0.07692307692307693;http://www.ephi.ru/;0.35897435897435903
0.0;;1.0;3.0;23.0;0.8888888888888888;4.5;ChIJIzMveudTtUYRVc59aRu00Rk;Федеральное государственное унитарное предприятие «Предприятие по производству бактерийных и вирусных препаратов Института полиомиелита и вирусных энцефалитов им. М.П. Чумакова РАМН (ФГУП «ПИПВЭ им. М.П. Чумакова ФГУП РАМН»);0.05882352941176471;http://www.chumakovs.ru/;0.3492374727668845
0.0;;2.0;124.0;29.0;1.0;;ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"Открытое акционерное общество ""Авексима"" (ОАО ""Авексима"")";0.007017543859649123;http://avexima.ru/;0.5023391812865498
-1.0;78.0;48.0;164.0;;0.9814814814814816;;ChIJJ8OtDSBKtUYR1vvor6hLTaE;"ООО ""Гиппократ""";0.15873015873015872;;0.54673721340388
0.0;;1.0;34.0;134.0;1.0;;ChIJJS3Lnh9KtUYRbkYHY9LYO1M;"ООО ""Мерц Фарма""";0.047619047619047616;http://www.merz.ru/;0.5158730158730159
0.0;;7.0;18.0;447.0;1.0;5.0;ChIJN2Q4iytLtUYRLm6Rf4FVeMk;Миракл Фарма Груп Лтд;0.04;http://old.smed.ru/;0.3466666666666667
0.0;;2.0;90.0;7.0;0.2222222222222222;;ChIJN5oxUnW0SkERWYpJ7qGYp-w;"Общество с ограниченной ответственностью ""Джодас Экспоим""";0.011363636363636364;http://www.jodas.ru/;0.2445286195286195
-1.0;;46.0;467.0;15.0;0.9879227053140096;5.0;ChIJN5t4CjesSkERQ1DK79U7f40;"Закрытое акционерное общество ""ВИФИТЕХ"" (ЗАО ""ВИФИТЕХ"")";0.018433179723502304;http://vifiteh.ru/;0.3354519616791707
0.0;;2.0;10.0;15.0;1.0;;ChIJO2VluUhNtUYRJ3MX1U_JXsI;"Закрытое акционерное общество ""Вектор-Медика"" (ЗАО ""Вектор-Медика"")";0.03125;http://lipint.ru;0.5104166666666666
0.0;;4.0;47.0;171.0;0.75;4.2;ChIJOSu734VJtUYRhdkOc2ECKrw;АстраЗенека ЮК Лимитед;0.06;http://www.astrazeneca.ru/;0.3233333333333333
1.0;;16.0;;10.0;1.0;;ChIJPwXWEyi1SkERq8Hod9dusM4;Эльфа НПЦ ЗАО;0.038461538461538464;https://elfa.ru/o-kompanii/;0.5128205128205129
0.0;;1.0;55.0;;1.0;;ChIJPzmvuxFNtUYRwUxtOrG8CWU;Представительство Ипка Лабораториз Лимитед;0.010416666666666666;;0.5034722222222222
0.0;;2.0;;33.0;1.0;;ChIJQ0xuCHJKtUYR0JugUbCORF0;"Общество с ограниченной ответственностью ""Промомед Холдингс (Сайпрус) Лимитед""";0.004464285714285714;http://promo-med.ru/;0.5014880952380952
0.0;5.0;77.0;173.0;54.0;0.9163059163059164;;ChIJQ4S7OhE1tUYRsayopXzdjU4;Оболенское - фармацевтическое предприятие ЗАО;0.008955223880597015;http://obolensk.ru/;0.4750870467288378
