place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение;"Торговое наименование
лекарственного препарата"
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Оланзапин-Тева
ChIJN5oxUnW0SkERWYpJ7qGYp-w;"ООО ""Джодас Экспоим""";Кефсепим
ChIJo8Oi2ApNtUYRhSmy4-v1aDA;Оксфорд Лабораториз Пвт.Лтд;Кефсепим
ChIJsygL9UIUtUYRsYlUQqhOn8U;"Акционерное общество ""Биннофарм"" (АО ""Биннофарм"")";Ксантинола никотинат
ChIJsygL9UIUtUYRsYlUQqhOn8U;"ЗАО ""Биннофарм""";Ксантинола никотинат
ChIJPzmvuxFNtUYRwUxtOrG8CWU;Представительство Ипка Лабораториз Лимитед;Рамикардия
ChIJgUKPz3JNtUYRKxuJjPLwv98;"ООО ""Русюрофарм""";Левофлоксацин
ChIJSxa40iFLtUYRt4qiPG6IDbU;Гленмарк Фармасьютикалз Лимитед;Глево
ChIJd6COwHJNtUYRuWgi5sNziCk;Вокхард Лимитед;Зедекс
ChIJb2vltB5NtUYRr10uSpHZIeM;Нобел Илач Санайи Ве Тиджарет А.Ш.;Пулореф®
ChIJb2vltB5NtUYRr10uSpHZIeM;Нобел Илач Санайи ве Тиджарет А.Ш.;Пулореф®
ChIJT7_H2zxItUYR1N1ini-eKuY;"ООО ""Эбботт Лэбораториз""";Норвир®
ChIJxabpdSJKtUYRONVnAQqWZBY;ЭббВи Дойчланд ГмбХ и Ко.КГ;Норвир®
;"Общество с ограниченной ответственностью ""ЭббВи""";Норвир®
ChIJAQDMt-NKtUYRM4Emp4K--ZI;Санофи-Авентис СА (Пти) Лтд;Рифафор®
ChIJQ4S7OhE1tUYRsayopXzdjU4;"Закрытое акционерное общество ""Фармацевтическое предприятие ""Оболенское"" (ЗАО ""ФП ""Оболенское"")";Орлистат
ChIJQ4S7OhE1tUYRsayopXzdjU4;"Закрытое акционерное общество ""Фармацевтическое предприятие ""Оболенское""";Орлистат
ChIJQ4S7OhE1tUYRsayopXzdjU4;"Закрытое акционерное общество ""Фармацевтическое предприятие ""Оболенское"" (ЗАО ""ФП ""Оболенское"")";Ксеналтен
ChIJiR0kxHJNtUYRT_AHrUKGmgc;Микро Лабс Лимитед;Небилонг Н
ChIJ3yVtE0LJSkER5dTUFzQKhew;"Закрытое акционерное общество Фармацевтическое научно-производственное предприятие ""Ретиноиды""";Уродерм
ChIJ3yVtE0LJSkER5dTUFzQKhew;"ЗАО ""Фармацевтическое научно-производственное предприятие ""Ретиноиды"" (ЗАО ""Ретиноиды"")";Уродерм
ChIJKbMvnyhNtUYRPm33FHCRqfM;"ООО ""Национальная Исследовательская Компания""";Панавир®
ChIJKbMvnyhNtUYRPm33FHCRqfM;"ООО ""Национальная Исследовательская Компания""";Панавир
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд.;Ципрофлоксацин-Тева
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Ципрофлоксацин-Тева
;"ОАО ""Татхимфармпрепараты""";Мотижект
;"Открытое акционерное общество ""Татхимфармпрепараты"" (ОАО ""Татхимфармпрепараты"" )";Мотижект
;"Открытое акционерное общество ""Татхимфармпрепараты"" (ОАО ""Татхимфармпрепараты"" )";Мотижект®
ChIJeZc7yh21SkERx5trQmeTwnI;"ОАО ""ДАЛЬХИМФАРМ""";Аралии настойка
ChIJF-Pu0AhKtUYRMRDoV0f0WPI;"ЗАО ""АЛСИ Фарма""";Аторвастатин
ChIJiR0kxHJNtUYRT_AHrUKGmgc;Микро Лабс Лимитед;Эквакард®
ChIJQ4S7OhE1tUYRsayopXzdjU4;"АО ""Фармацевтическое предприятие ""Оболенское""";Эналаприл Н
ChIJQ4S7OhE1tUYRsayopXzdjU4;"Закрытое акционерное общество ""Фармацевтическое предприятие ""Оболенское"" (ЗАО ""ФП ""Оболенское"")";Эналаприл Н
ChIJW-VRVBNMtUYRIdc5aVQzaWg;БЕЛУПО, лекарства и косметика д.д.;Бондерм
ChIJt9urMlGzSkERj9tNWpPwvu0;"Общество с ограниченной ответственностью ""ИРВИН 2"" (ООО ""ИРВИН 2"")";Нелфинавир
ChIJt9urMlGzSkERj9tNWpPwvu0;"ООО ""ИРВИН 2""";Ринвир
;Лок-Бета Фармасьютикалс (I) Пвт.Лтд;Ритонавир
;Лок-Бета Фармасьютикалс (И) Пвт.Лтд;Ритонавир
;Алмиралл С.А.;Аэртал
ChIJZw56oTE6tUYRVMSm9h2NKU4;Алмирал С.А.;Аэртал®
ChIJp7OiFxBLtUYRAlLOfZyUKcg;"ОАО ""Гедеон Рихтер""";АЭРТАЛ®
ChIJJfc_heZItUYRs5nshVyIoKc;"ЗАО ""Мединторг""";Псевдовак
ChIJJfc_heZItUYRs5nshVyIoKc;"АО ""Мединторг""";Псевдовак
ChIJv0hf4BJLtUYRBpKJcntekR0;Берлин-Хеми/Менарини Фарма ГмбХ;Пангрол® 25000
ChIJv0hf4BJLtUYRBpKJcntekR0;Берлин-Хеми/Менарини Фарма ГмбХ;Пангрол® 10000
;"Общество с ограниченной ответственностью ""БЭГРИФ"" (ООО ""БЭГРИФ"")";Календулы настойка
ChIJv4SpIY9OtUYRCYJd7iqMnTg;"ЗАО ""Аграрно-промышленная фирма ""Фито-Эм""";Хвоща полевого трава
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Хималайя Драг Ко.;СЕПТИЛИН® ПЛЮС
;Сучжоу Данрайс Фармасьютикал Ко.Лтд;Киспар®
ChIJe_0Uoc9ItUYRcRTP3lm7PSQ;"ООО ""Джонсон & Джонсон""";Мезавант
;Шайер Фармасьютикалс Айерленд Лимитед;Мезавант
;Шайер Фармасьютикалс Айерленд Лтд;Мезавант
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;"ОАО ""Тверская фармацевтическая фабрика""";Подорожника настойка
;"Открытое акционерное общество ""Самарамедпром"" (ОАО ""Самарамедпром"")";Бифасам
;Дансон Трейдинг Фармасьютикал Компани Лимитед;Звездочка Флю
ChIJK3Vnyb1MtUYRVigS41qAigo;"ООО ""Группа компаний ""Граминэкс Фарма""";Цернилтон®
ChIJP9rRaspJtUYRN5_yqYcXiKY;Сандоз ГмбХ;Зарсио
ChIJP9rRaspJtUYRN5_yqYcXiKY;Сандоз ГмбХ;Зарсио®
;Лофарма С.п.А.;Лайс Дерматофагоидес
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Топирамат-Тева
ChIJAYNGsG5MtUYRKIQegK7V9Q4;"ООО ""Лек С+""";Мочегонный сбор №2
ChIJcWTIzMtItUYRsMzR_m-qC_s;ЗАО «ГлаксоСмитКляйн Трейдинг»;Альтарго
ChIJcWTIzMtItUYRsMzR_m-qC_s;"ЗАО ""ГлаксоСмитКляйн Трейдинг""";Альтарго
ChIJSR24yYlHtUYR293UR9yMQQk;"ЗАО ""Ст.-Медифарм""";Урологический (мочегонный) сбор-ф
;"Акционерное общество ""Нижегородский химико-фармацевтический завод"" (АО ""Нижфарм"")";Магнистад®
;"ОАО ""Нижегородский химико-фармацевтический завод"" (ОАО ""Нижфарм"")";Магнистад®
;"ОАО ""Нижегородский химико-фармацевтический завод"" (ОАО ""Нижфарм"")";Магнистад
ChIJieZTUhNKtUYRlHpcqUkqDTE;"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским  иммунобиологическим препаратам «Микроген» (ФГУП ""НПО ""Микроген"")";Фиалки трава
ChIJieZTUhNKtUYR-gKL6naxjzU;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)";Фиалки трава
ChIJeyXkadG0SkERE9yDoTtkaEE;СимбиоФарм ГмбХ;Про-Симбиофлор
ChIJ082evx9LtUYRfteuOWQcgD8;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения и социального развития Российской Федерации (ФГУП ""НПО ""Микроген"" Минздравсоцразвития России)";Фиалки трава
ChIJieZTUhNKtUYR-gKL6naxjzU;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)";Пижмы цветки
ChIJ082evx9LtUYRfteuOWQcgD8;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения и социального развития Российской Федерации (ФГУП ""НПО ""Микроген"" Минздравсоцразвития России)";Пижмы цветки
ChIJPzmvuxFNtUYRwUxtOrG8CWU;Ипка Лабораториз Лтд;Презартан®
ChIJY5alyXk2tUYRlxyBZb2_pAM;Ранбакси Лабораториз Лимитед;Корприл®
ChIJn_8YrSBNtUYRxyUlP-UJ5Yw;Сан Фармасьютикал Индастриз Лтд;Корприл®
ChIJY5alyXk2tUYRlxyBZb2_pAM;Ранбакси Лабораториз Лимитед;Корприл
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд.;Цетиризин-Тева
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Цетиризин-Тева
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Викс Актив АмброМед
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Амброксол-Тева
ChIJeZc7yh21SkERx5trQmeTwnI;"Открытое Акционерное Общество ""Дальхимфарм""";Алоэ экстракт жидкий
ChIJeZc7yh21SkERx5trQmeTwnI;"ОАО ""ДАЛЬХИМФАРМ""";Алоэ экстракт жидкий
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд.;Катадолон®форте
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Катадолон® Форте
;"Представительство Фармацевтического завода ""Польфарма"" АО";Латаномол
;"Фармацевтический завод ""ПОЛЬФАРМА"" АО";Латаномол
;"Открытое акционерное общество ""Татхимфармпрепараты"" (ОАО ""Татхимфармпрепараты"" )";Индапамид ретард
ChIJp7OiFxBLtUYRAlLOfZyUKcg;"ОАО ""Гедеон Рихтер""";Дуплекор®
ChIJ6zAdFaY2tUYRo2YlwzFkya4;"Общество с ограниченной ответственностью ""ОЛЛО"" (ООО ""ОЛЛО"")";Монокомпонентные LM-препараты растительного происхождения (согласно приложению-237 наименований)
ChIJv4SpIY9OtUYRCYJd7iqMnTg;"ЗАО ""Аграрно-промышленная фирма ""Фито-Эм""";Пустырника трава
ChIJv4SpIY9OtUYRCYJd7iqMnTg;"ЗАО ""Аграрно-промышленная фирма ""Фито-Эм""";Солодки корни
ChIJn_8YrSBNtUYRxyUlP-UJ5Yw;Сан Фармасьютикал Индастриз Лтд;Анабрез
ChIJn_8YrSBNtUYRxyUlP-UJ5Yw;Сан Фармасьютикал Индастриз Лтд;Анастрозол Сан
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер Шеринг Фарма АГ;Левитра®
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер Фарма АГ;Левитра® ОДТ
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер АГ;Левитра® ОДТ
;ООО Тульская фармацевтическая фабрика;Пиона уклоняющегося настойка
;"Общество с ограниченной ответственностью ""Тульская фармацевтическая фабрика"" (ООО ""Тульская фармацевтическая фабрика"")";Пиона уклоняющегося настойка
ChIJs_exskYUtUYR8pp1GTFEMRE;"ООО ""Биопин Фарма""";Диклофенак
ChIJyakEcg5JtUYRqc-yh74VyqQ;"Общество с ограниченной ответственностью ""Атолл"" (ООО ""Атолл"")";Диклофенак
ChIJdQJbAQdKtUYRC47YwAAmDUM;"Закрытое акционерное общество ""Фирн М""";Вагисепт®
ChIJdQJbAQdKtUYRC47YwAAmDUM;"Закрытое акционерное общество ""Фирн М"" (ЗАО ""Фирн М"")";Вагисепт®
;"Закрытое акционерное общество ""Ярославская фармацевтическая фабрика"" (ЗАО ""ЯФФ"")";Касторовое масло
ChIJ6zAdFaY2tUYRo2YlwzFkya4;"Общество с ограниченной ответственностью ""ОЛЛО"" (ООО ""ОЛЛО"")";Монокомпонентные LM-препараты минерального происхождения (130наименований-согласно приложению)
ChIJgz9XqhtLtUYRCeJGRplg-4w;"ЗАО ""Фрезениус СП""";Сорбистерит
;Фрезениус Медикал Кеа Нефролоджика Дойчланд ГмбХ;Сорбистерит
ChIJkbo1cRJLtUYRMGRLo57JCGQ;"ООО ""Тева""";Левоцетиризин-Тева
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Левоцетиризин-Тева
ChIJdQJbAQdKtUYRC47YwAAmDUM;"Закрытое акционерное общество ""Фирн М""";Носолин®-бальзам
ChIJdQJbAQdKtUYRC47YwAAmDUM;"Закрытое акционерное общество ""Фирн М"" (ЗАО ""Фирн М"")";Носолин®-бальзам
ChIJvRqIgXRItUYRJDWpG5d3VL8;"ООО ""Фармлюкс""";Глатион
;"Закрытое акционерное общество ""Ярославская фармацевтическая фабрика"" (ЗАО ""ЯФФ"")";Полыни настойка
ChIJdQJbAQdKtUYRC47YwAAmDUM;"Закрытое акционерное общество ""Фирн М""";Вагиферон®
ChIJdQJbAQdKtUYRC47YwAAmDUM;"Закрытое акционерное общество ""Фирн М"" (ЗАО ""Фирн М"")";Вагиферон®
ChIJR0BzjSVKtUYRH4_C6aAlKYk;Безен Хелскеа СА;ВАГИФЛОР
ChIJR0BzjSVKtUYRH4_C6aAlKYk;Безен Хелскеа СА;Лактожиналь
ChIJR0BzjSVKtUYRH4_C6aAlKYk;Безен Хелскеа СА;Лактожиналь®
ChIJR0BzjSVKtUYRH4_C6aAlKYk;Безен Хелскеа СА;ЛАКТОЖИНАЛЬ®
ChIJn_8YrSBNtUYRxyUlP-UJ5Yw;Сан Фармасьютикал Индастриз Лтд;Оксиплат
ChIJR0BzjSVKtUYRH4_C6aAlKYk;Безен Хелскеа СА;Триожиналь
ChIJR0BzjSVKtUYRH4_C6aAlKYk;Безен Хелскеа СА;Фемафлор
ChIJR0BzjSVKtUYRH4_C6aAlKYk;Безен Хелскеа СА;ТРИОЖИНАЛЬ®
ChIJ1ev-xNpMtUYRfeRXGKz2phs;Торрент Фармасьютикалс Лтд;Рекардиум
;"Общество с ограниченной ответственностью ""Тульская фармацевтическая фабрика"" (ООО ""Тульская фармацевтическая фабрика"")";Вазелиновое масло
ChIJcWTIzMtItUYRsMzR_m-qC_s;"ЗАО ""ГлаксоСмитКляйн Трейдинг""";Волибрис®
ChIJcWTIzMtItUYRsMzR_m-qC_s;"ЗАО ""ГлаксоСмитКляйн Трейдинг""";Волибрис
;"Общество с ограниченной ответственностью ""Тульская фармацевтическая фабрика"" (ООО ""Тульская фармацевтическая фабрика"")";Стрептоцид
;"Общество с ограниченной ответственностью ""Тульская фармацевтическая фабрика"" (ООО ""Тульская фармацевтическая фабрика"")";Хлоргексидина биглюконат
;"Открытое акционерное общество ""Тульская фармацевтическая фабрика""";Хлоргексидина биглюконат
;ООО Тульская фармацевтическая фабрика;Клей БФ-6
;"Общество с ограниченной ответственностью ""Тульская фармацевтическая фабрика"" (ООО ""Тульская фармацевтическая фабрика"")";Клей БФ-6
;"ООО ""Генс""";Йод-Ка®
;"ОАО ""Пермфармация""";Йод
ChIJI4yfn75OtUYRGG4VQOaQWXs;"ОАО  ""Фармацевтический завод ЭГИС""";ЭГИЛОК® С
ChIJI4yfn75OtUYRGG4VQOaQWXs;"ЗАО ""Фармацевтический завод ЭГИС""";Эгилок® С
;"ООО ""Генс""";ЗелёнКа®
;"ООО ""Генс""";ЗелёнКа
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Генс ООО;ЗелёнКа
ChIJOdxmBP1HtUYR1_DsidjqS1I;"ООО ""Алкой""";Гастронал®
ChIJyxrRBs80tUYR8_lUjIURXCo;Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ;Кадуэт®
;"ООО ""Митотех""";Визомитин®
;"ООО ""Митотех""";Визомитин
ChIJv4SpIY9OtUYRCYJd7iqMnTg;"ЗАО ""Аграрно-промышленная фирма ""Фито-Эм""";Ламинарии слоевища-морская капуста
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд.;Тевастор®
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд.;Тевастор
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Тевастор®
;"ООО ""БиоФармКомбинат""";Медицинский антисептический раствор
ChIJvTdL7u1MtUYR401N-nauPxk;ЯДРАН-ГАЛЕНСКИ ЛАБОРАТОРИЙ а.о.;Аква Марис Плюс
ChIJvTdL7u1MtUYR401N-nauPxk;ЯДРАН-ГАЛЕНСКИ ЛАБОРАТОРИЙ а.о.;Аква Марис® Плюс
ChIJvTdL7u1MtUYR401N-nauPxk;ЯДРАН-ГАЛЕНСКИ ЛАБОРАТОРИЙ а.о.;Аква Марис плюс
ChIJp4q1IRNLtUYRf8uZUhOrFeI;"ООО ""ВАЛЕАНТ""";Асковит®
;Натур Продукт Европа Б.В.;Асковит®
ChIJv4SpIY9OtUYRCYJd7iqMnTg;"ЗАО ""Аграрно-промышленная фирма ""Фито-Эм""";Льна семена
;Пфайзер Корпорэйшн Австрия ГмбХ;Адвил®
ChIJN5t4CjesSkERQ1DK79U7f40;"ЗАО ""Вифитех""";Родиолы экстракт жидкий
ChIJN5t4CjesSkERQ1DK79U7f40;"Закрытое акционерное общество ""ВИФИТЕХ"" (ЗАО ""ВИФИТЕХ"")";Родиолы экстракт жидкий
ChIJaXNA0AlKtUYRzxHJj47qcZs;Хемофарм А.Д.;Гепатромбин С
;Симпекс Фарма Пвт. Лтд.;Симпас
ChIJ3c2zi59NtUYRkcMQBKd0U9I;"ЗАО ""Институт фармацевтических технологий""";Таурин
ChIJ3c2zi59NtUYRkcMQBKd0U9I;"ЗАО ""Институт фармацевтических технологий""";Игрель®
ChIJ2TpyxUSzSkEROUcye5z2pqc;"ООО ""Квадрат-С""";Игрель®
ChIJf5WJuQNLtUYR53XHU6jH9zM;ООО Актавис;Ксеродент
ChIJNcBj9RpLtUYR6q3lMJqs76U;"ОАО ""Холдинг ""Эдас""";ВЕНОМИЛ ЭДАС-920(сл)
ChIJ4xjzpN1LtUYRDv4p0PPL69Y;Пфайзер Инк;Амоксициллин + Клавулановая кислота Пфайзер
;Ауробиндо Фарма Лтд;Амоксициллин+Клавулановая кислота
;"ООО ""Фармактив""";Медсикам®
ChIJpfjJydtHtUYRk5Dxrgu22lY;Фармактивы ООО;Медсикам®
ChIJv4SpIY9OtUYRCYJd7iqMnTg;"ЗАО ""Аграрно-промышленная фирма ""Фито-Эм""";Боярышника цветки
ChIJp4q1IRNLtUYRf8uZUhOrFeI;"ООО ""ВАЛЕАНТ""";Момедерм®
ChIJsz9wC_U1tUYRwxIp1LVDgms;Ельфа фармзавод А.О.;Момедерм®
ChIJv4SpIY9OtUYRCYJd7iqMnTg;"ЗАО ""Аграрно-промышленная фирма ""Фито-Эм""";Эвкалипта прутовидного листья
ChIJv4SpIY9OtUYRCYJd7iqMnTg;"ЗАО ""Аграрно-промышленная фирма ""Фито-Эм""";Мелиссы лекарственной трава
ChIJydtP0a5MtUYRvaTk_uo0weY;Аджио Фармацевтикалз Лтд;Диклоген®
;Алкем Лабораториз Лтд;Пиперациллин+Тазобактам-Алкем
ChIJNcBj9RpLtUYR6q3lMJqs76U;"ОАО ""Холдинг ""Эдас""";НЕФРОНАЛ ЭДАС-928(сл)
ChIJAYNGsG5MtUYRKIQegK7V9Q4;"ООО ""Лек С+""";Чистотела трава
ChIJNcBj9RpLtUYR6q3lMJqs76U;"ОАО ""Холдинг ""Эдас""";БРИАКОН ЭДАС-903(сл)
ChIJjc6eUNSvSkERr9bN11bL2f8;"ООО ""АБОЛмед""";Амикабол®
ChIJjdiqPOpJtUYR6irKP8NYbjA;Меда Мануфакчуринг ГмбХ;Ревмонн
ChIJ-8ek18xJtUYR3JOmVnhoXCE;"Открытое акционерное общество ""Уралбиофарм"" (ОАО ""Уралбиофарм"")";Пентафлуцин дневной
ChIJgTkLbY85tUYRjy6a50nTqAQ;"Открытое акционерное общество ""Фармстандарт-Лексредства""";Некст®
;"Открытое акционерное общество ""Отисифарм""";Некст
ChIJDQV3Bo85tUYRQEG2NjR2PIQ;"Публичное акционерное общество ""Отисифарм""";Некст®
ChIJDQV3Bo85tUYRQEG2NjR2PIQ;"Публичное акционерное общество ""Отисифарм""";Некст
;"Открытое акционерное общество ""Самарамедпром"" (ОАО ""Самарамедпром"")";Троксевенол
ChIJ4xjzpN1LtUYRDv4p0PPL69Y;Пфайзер Инк;Тербинафин Пфайзер
;Ауробиндо Фарма Лтд;Тербинафин
ChIJ4xjzpN1LtUYRDv4p0PPL69Y;Пфайзер Инк;Периндоприл Пфайзер
;Ауробиндо Фарма Лтд;Периндоприл
ChIJQfKgeJ1MtUYRLq6ZOMSCko4;"Закрытое акционерное общество ""Фарм-Синтез""";Целлекс®
ChIJQfKgeJ1MtUYRLq6ZOMSCko4;"ЗАО ""Фарм-Синтез""";Целлекс®
ChIJV-nmvmdLtUYR-o19kBcw-xk;"АО ""Фарм-Синтез""";Целлекс®
ChIJQfKgeJ1MtUYRLq6ZOMSCko4;"Акционерное общество ""Фарм-Синтез"" (АО ""Фарм-Синтез"")";Целлекс®
ChIJQfKgeJ1MtUYRLq6ZOMSCko4;"ЗАО ""Фарм-Синтез""";Целлекс
ChIJ4zYSmhOoSkERS3QWboOmrZg;"Закрытое акционерное общество ""ЗиО-Здоровье""";Тилорон
ChIJ4zYSmhOoSkERS3QWboOmrZg;"Закрытое акционерное общество ""ЗиО-Здоровье"" (ЗАО ""ЗиО-Здоровье"")";Актавирон
ChIJNcBj9RpLtUYR6q3lMJqs76U;"ОАО ""Холдинг ""Эдас""";УРСИТАБ ЭДАС-132(вс)
ChIJNcBj9RpLtUYR6q3lMJqs76U;"ОАО ""Холдинг ""Эдас""";ТОНЗИЛЛИН ЭДАС-125(вс)
;"Общество с ограниченной ответственностью ""ЮжФарм"" (ООО ""ЮжФарм"")";Перекись водорода
ChIJQeD8TDyzSkERookfhrZrnLg;"Акционерное Общество ""Гриндекс""";БИКАЛУТАМИД ГРИНДЕКС
ChIJcQHwynBKtUYReN98gOfg0fQ;"ООО ""Омела""";Неорондекс®
;"Республиканское унитарное производственное предприятие ""Белмедпрепараты"" (РУП ""Белмедпрепараты"")";Неорондекс®
;Лофарма С.п.А.;Лайс Грасс
ChIJ9ZYG-qE2tUYR3nk-TKZBYZI;"Закрытое акционерное общество ""Вертекс""";Кетопрофен
ChIJ9ZYG-qE2tUYR3nk-TKZBYZI;"Акционерное общество ""ВЕРТЕКС"" (АО ""ВЕРТЕКС"")";Кетопрофен
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";Натива®
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";Натива
;"ОАО ""Кемеровская фармацевтическая фабрика""";Глицерин
ChIJAQDMt-NKtUYRM4Emp4K--ZI;Санофи-Авентис Канада Инк;Тритаце® плюс
ChIJv4SpIY9OtUYRCYJd7iqMnTg;"ЗАО ""Аграрно-промышленная фирма ""Фито-Эм""";Крапивы листья
ChIJI3pnC8A2tUYRELgrYngPJCg;"Общество с ограниченной ответственностью ""КОМПАНИЯ ""ДЕКО"" (ООО ""КОМПАНИЯ ""ДЕКО"")";Цефепим
;"ОАО ""Кировская фармацевтическая фабрика""";Бриллиантовый зеленый
ChIJe9lry-dNtUYRw9X36ILhKBQ;"ООО ""Фортьюн Мед""";Сантаз
ChIJHXK1JTqzSkERrd1Fn4mjUWI;"ООО ""С.П. ИНКОМЕД""";Сантаз
;"ООО ""ДИАЛОГФАРМА""";Ритонавир
ChIJrybe6-dKtUYRzLFutFZe3vE;Астеллас Фарма Юроп Б.В.;Локоид®
ChIJrybe6-dKtUYRzLFutFZe3vE;Астеллас Фарма Юроп Б.В.;Локоид
ChIJL4UqT8pJtUYRDAzLwHSNzNA;ЛЕО Фарма А/С;Локоид®
ChIJcWTIzMtItUYRsMzR_m-qC_s;"ЗАО ""ГлаксоСмитКляйн Трейдинг""";Синфлорикс (Вакцина 10-валентная пневмококковая полисахаридная, конъюгированная с D-протеином нетипируемой Haemophilus influenzae, столбнячным и дифтерийным анатоксинами, адсорбированная)
ChIJe_0Uoc9ItUYRcRTP3lm7PSQ;"ООО ""Джонсон & Джонсон""";Резолор
ChIJveVS7eFKtUYRdVWjQEI-UOk;Новартис Фарма АГ;Иларис®
ChIJu4nq5OHPSkERVN5v6SzNWAI;"Открытое акционерное общество ""Химико-фармацевтический комбинат ""АКРИХИН"" (ОАО ""АКРИХИН"")";Азелик®
ChIJu4nq5OHPSkERVN5v6SzNWAI;"Акционерное общество ""Химико-фармацевтический комбинат ""АКРИХИН"" (АО ""АКРИХИН"")";Азелик®
ChIJieZTUhNKtUYRlHpcqUkqDTE;"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским  иммунобиологическим препаратам «Микроген» (ФГУП ""НПО ""Микроген"")";Бузины черной цветки
ChIJ082evx9LtUYRfteuOWQcgD8;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения и социального развития Российской Федерации (ФГУП ""НПО ""Микроген"" Минздравсоцразвития России)";Бузины черной цветки
ChIJsygL9UIUtUYRsYlUQqhOn8U;"ЗАО ""Производственная фармацевтическая компания Обновление""";Оксиметазолин
;"Закрытое акционерное общество ""Производственная фармацевтическая компания ""Обновление""";Сиалор рино
;"ЗАО ""Производственная фармацевтическая компания ""Обновление"" (ЗАО ""ПФК ""Обновление"")";Сиалор® рино
ChIJ2SpUsga1SkERkoTo0jrOvyA;"Закрытое акционерное общество ""Алтайвитамины""";Синтомицин линимент
ChIJ6VPxt6NLtUYR3XgwKqK4w34;"ЗАО ""Алтайвитамины""";Синтомицин
ChIJaf1kOxBNtUYRQuW1cp98ydw;Мейджи Сейка Фарма Ко.Лтд;Спектрацеф
ChIJSR24yYlHtUYR293UR9yMQQk;"ЗАО ""Ст.-Медифарм""";Желудочно-кишечный сбор-ф
ChIJQ4S7OhE1tUYRsayopXzdjU4;Закрытое акционерное общество «Фармацевтическое предприятие «Оболенское» (ЗАО «ФП «Оболенское»);Тамсулозин-OBL
ChIJQ4S7OhE1tUYRsayopXzdjU4;"Закрытое акционерное общество ""Фармацевтическое предприятие ""Оболенское"" (ЗАО ""ФП ""Оболенское"")";Тамсулозин-OBL
ChIJQ4S7OhE1tUYRsayopXzdjU4;"АО ""Фармацевтическое предприятие ""Оболенское""";Тамсулозин-OBL
;"Открытое акционерное общество ""Флора Кавказа""";Люголя раствор с глицерином
;"Открытое акционерное общество ""Флора Кавказа"" (ОАО ""Флора Кавказа"")";Люголя раствор с глицерином
ChIJcxfWBLRLtUYRUD7iIwIA3TM;Ферринг ГмбХ;Пабал
ChIJ4xjzpN1LtUYRDv4p0PPL69Y;Пфайзер Инк;Цефтазидим Пфайзер
;Ауробиндо Фарма Лтд;Цефтазидим
ChIJ4w5Mw8bU3UMRTRqwLhVueGA;АстраЗенека ЮК Лтд;Вимово™
