place_id,Нарушения экспертно,Тяжесть нарушения экспертно
ChIJb5YieAlMtUYRC59u2Jeuyhg,,0.0
ChIJbShggKy1SkERnOYCir1_4oE,,0.0
ChIJbzmY5hs4tUYRM1aNjyNDbyo,,0.0
ChIJcWTIzMtItUYRsMzR_m-qC_s,,0.0
ChIJceyUBiNKtUYRyJmP0fAAc-k,,0.0
ChIJcxfWBLRLtUYRUD7iIwIA3TM,,0.0
ChIJd22kARNKtUYR_15_VenR82g,,0.0
ChIJdQJbAQdKtUYRC47YwAAmDUM,,0.0
ChIJdc7WB2uzSkERpAE4Y-RSKqI,,0.0
ChIJe73X6xWoSkERsmC6psMeDhM,,0.0
ChIJe8LHSnVKtUYRXPkn1lar3bo,,0.0
ChIJeZc7yh21SkERx5trQmeTwnI,,0.0
ChIJf5WJuQNLtUYR53XHU6jH9zM,,0.0
ChIJfRfLoHI1tUYRkH8M2gKwIRM,,0.0
ChIJfXUVSz9KtUYRQNT2nzsvvmw,,0.0
ChIJfc2KK7qtSkERmQNGKtfCpNU,,0.0
ChIJfdsnBwNLtUYR5lPQmuVHdpc,,0.0
ChIJgTkLbY85tUYRjy6a50nTqAQ,Упаковка.,4.0
ChIJgU5_wGtNtUYRfjvyeiOgskQ,Маркировка. Упаковка.,8.0
ChIJh5D3XkHJSkERlTDYYs0NaxE,,0.0
ChIJh6UxpMhLtUYRI6kmpUlpPqM,,0.0
ChIJh6YXHqNLtUYROmVF8hYReLE,,0.0
ChIJhQmCTPQ1tUYRf2pGkigleRQ,,0.0
ChIJhZzA0A9LtUYRKNy2RR6u9uA,,0.0
ChIJieZTUhNKtUYRlHpcqUkqDTE,Маркировка.,4.0
ChIJj0X_ZXs5tUYRABtaAvydcNQ,,0.0
ChIJk7FXGh5KtUYRUtOdUwazFNE,,0.0
ChIJkbo1cRJLtUYRMGRLo57JCGQ,,0.0
ChIJl4iGdHI1tUYRPpuMLBy-t98,,0.0
ChIJm0SyLPhHtUYRQqEUH_oP958,,0.0
ChIJm3B8sINMtUYRTPc2C-3HsQo,Проблема в описании.,7.0
