place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение
ChIJF53-kWizSkERxmOI5Y_dSAM;Бэгриф ООО
ChIJVVVlpAJItUYRmF7ec3ljIjY;Фармапол-Волга ООО
ChIJHTRqI8LKSkERuw4Luplp0K0;Белгородская областная станция переливания крови
ChIJ65qH_ec5tUYRyqbFA00vVqM;Самарамедпром ОАО
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аптечный склад Рязань-Фармация ГУП
ChIJ3cdO4_YitUYR1bzDyBHXDZ4;Фитасинтекс ООО
;Кировская фармацевтическая фабрика ОГУП
ChIJw6CGOPCxSkERZdlGuKq0HOk;Санкт-Петербургский НИИ вакцин и сывороток и предприятие по производству бактерийных препаратов ФГУП ФМБА
ChIJY83Q7CrTSkER4MHnT6ofxlc;Щелковский витаминный завод ОАО
ChIJ7fU_PlizSkERe58hTrE18iE;Брынцалов-А ЗАО
;Омская фармфабрика ОГУП
ChIJv0hf4BJLtUYRK4WAOJkwknA;Ростовская фармфабрика ЗАО
ChIJoQoEejBNtUYRRBUuwmAtndY;ЭХО НПК АОЗТ
ChIJeZc7yh21SkERx5trQmeTwnI;Дальхимфарм ОАО
ChIJSwO4aDNPtUYR0ZfngcBhfqs;Эмпилс-Фох ЗАО
ChIJFfC6-Ck5tUYR8_cDq_aEqeI;Фармзащита НПЦ ГП
ChIJBb2QJkBNtUYRebKm_xR9Qto;Опытное производство института биоорганической химии
;Институт фармакохимии АН Грузии, Экспериментально-производственная база
;Тюменский ХФЗ ФГУП
ChIJhQKLHKU0tUYRaHeyPDvI1Rk;Центрально-Европейская Фармацевтическая Компания ЗАО
;Российский инсулин ОАО
ChIJOSKTeoVJtUYR12LFZtXzGl4;Станция переливания крови Департамента здравоохранения ГУЗ [Москва]
ChIJ_azY-UFKtUYRJBoxtt0-N8g;ГНИИ стандартизации и контроля лекарственных средств МЗ России
ChIJQfKgeJ1MtUYRLq6ZOMSCko4;Фармсинтез ЗАО [Ленинградская обл.]
;ПОЛИСАН НТФФ ООО
ChIJ0RgjeQ5LtUYRa85IpR6Gpps;Пульмомед ЗАО
ChIJsygL9UIUtUYRsYlUQqhOn8U;Роскарфарм АО
ChIJ6zAdFaY2tUYRo2YlwzFkya4;Олло ООО
;Абиес НПФ ООО
ChIJgTkLbY85tUYRjy6a50nTqAQ;Фармстандарт-Лексредства ОАО
ChIJQ4S7OhE1tUYRsayopXzdjU4;Оболенское - фармацевтическое предприятие ЗАО
;"ОАО ""Усолье-Сибирский химико-фармацевтический завод"""
ChIJi6ZBTB62SkER3-M_hvAaMRQ;Диафарм ООО
ChIJMakVf4E3tUYRknWjlz256fc;Микрохирургия глаза НЭП ООО
ChIJuYVTQ9gstUYRwJ72mpK9FFE;Веда Лаб
ChIJHw5Hh-FLtUYRNtFLIxpRoNs;Люми ООО [Санкт-Петербург]
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП МЗ РФ
ChIJfc2KK7qtSkERWtrM9ERpOXg;ВИЛАР
ChIJ5yzpDWHKSkERIxXsUvrW6Fw;Славянская аптека ООО
ChIJe8zJA_RKtUYRMCov3MJlU4A;Репромед ООО
;Тонар НПФ ТОО
;Троицкий йодный завод ГУП
ChIJ2SpUsga1SkERkoTo0jrOvyA;"Закрытое акционерное общество ""Алтайвитамины"""
ChIJVfCPrjhPtUYR5sNyaIHO2Ec;"ФГУ ""Российский кардиологический научно-производственный комплекс"" Министерства здравоохранения и социального развития Российской Федерации - Экспериментальное производство медико-биологических препаратов"
ChIJu4nq5OHPSkERVN5v6SzNWAI;"Акционерное общество ""Химико-фармацевтический комбинат ""АКРИХИН"" (АО ""АКРИХИН"")"
ChIJY83Q7CrTSkER4MHnT6ofxlc;"Открытое акционерное общество ""Валента Фармацевтика"""
;"ОАО ""Новосибхимфарм"""
ChIJl4iGdHI1tUYRPpuMLBy-t98;"Открытое акционерное общество ""Верофарм"""
ChIJeZc7yh21SkERx5trQmeTwnI;"Открытое Акционерное Общество ""Дальхимфарм"""
ChIJieZTUhNKtUYRlHpcqUkqDTE;"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским  иммунобиологическим препаратам «Микроген» (ФГУП ""НПО ""Микроген"")"
ChIJvQnrW6JNtUYRwjt0F_xZ-Zw;"ООО  ""Гомеопатическая фармация"""
ChIJ6zAdFaY2tUYRo2YlwzFkya4;"ООО ""ОЛЛО"""
ChIJTyK6ImA5tUYRQLQBzlUGo5Q;"Открытое акционерное общество ""Акционерное Курганское общество медицинских препаратов и изделий ""Синтез"" (ОАО «Синтез»)"
ChIJ055xDOdKtUYR-eYTXo8MdQQ;"Открытое акционерное общество ""Московское производственное химико-фармацевтическое объединение им. Н.А.Семашко"""
ChIJ4zYSmhOoSkERS3QWboOmrZg;"Закрытое акционерное общество Фирма ""Здоровье"""
ChIJsQrpg-dKtUYR-HoJoprREHs;"Открытое акционерное общество ""Красфарма"""
ChIJ3yVtE0LJSkER5dTUFzQKhew;"Закрытое акционерное общество Фармацевтическое научно-производственное предприятие ""Ретиноиды"""
ChIJ082evx9LtUYRfteuOWQcgD8;"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения и социального развития Российской Федерации (ФГУП ""НПО ""Микроген"" Минздравсоцразвития России)"
ChIJQ4S7OhE1tUYRsayopXzdjU4;Закрытое акционерное общество «Фармацевтическое предприятие «Оболенское» (ЗАО «ФП «Оболенское»)
ChIJJffwVIhKtUYRT-zLp6JNoBI;ОАО «Биохимик»
ChIJHTRqI8LKSkERuw4Luplp0K0;государственное  учреждение  здравоохранения «Свердловская областная станция переливания крови»
ChIJmRlppFlKtUYRAYZL6rWs5gA;"ОАО ""Нижегородский химико-фармацевтический завод"""
;"ОАО ""Татхимфармпрепараты"""
ChIJu4nq5OHPSkERVN5v6SzNWAI;"Акционерное общество ""Химико-фармацевтический комбинат ""АКРИХИН"" (АО ""АКРИХИН"""
;"ОАО НПФ ""Перфторан"""
ChIJQfKgeJ1MtUYRLq6ZOMSCko4;"Закрытое акционерное общество ""Фарм-Синтез"""
ChIJQ4S7OhE1tUYRsayopXzdjU4;"Закрытое акционерное общество ""Фармацевтическое предприятие ""Оболенское"" (ЗАО ""ФП ""Оболенское"")"
;"Общество с ограниченной ответственностью ""Альтфарм"""
;"Закрытое акционерное общество ""Ярославская фармацевтическая фабрика"" (ЗАО ""ЯФФ"")"
ChIJeZc7yh21SkERx5trQmeTwnI;"Открытое акционерное общество ""ДАЛЬХИМФАРМ"" (ОАО ""ДАЛЬХИМФАРМ"")"
;"ООО ""Производственная фармацевтическая компания ""Алиум"""
;"Закрытое акционерное общество ""Медисорб"""
ChIJl4iGdHI1tUYRPpuMLBy-t98;"Общество с ограниченной ответственностью ""ЛЭНС-Фарм"""
ChIJw6CGOPCxSkERZdlGuKq0HOk;"ООО ""НПО Петровакс Фарм"""
ChIJNcBj9RpLtUYR6q3lMJqs76U;"ОАО ""Холдинг ""Эдас"""
;"Закрытое акционерное общество ""Фирма ""Витафарма"""
ChIJHTRqI8LKSkERuw4Luplp0K0;"Государственное учреждение здравоохранения ""Ивановская областная станция переливания крови"""
;"ООО ""Биосурф"""
;"Общество с ограниченной ответственностью
 "" ПИК-ФАРМА"" (ООО ""ПИК-ФАРМА"")"
ChIJ6xIHYka1SkERc-eFU7L6eQE;"ОАО ""Биосинтез"""
ChIJw0jGtFC1SkERVe0FauPd_Mo;"ЗАО ""Зеленая Дубрава"""
;"Общество с ограниченной ответственостью ""Росбио"""
ChIJN5t4CjesSkERQ1DK79U7f40;"ЗАО ""Вифитех"""
ChIJw0jGtFC1SkERVe0FauPd_Mo;"Закрытое акционерное общество ""Зеленая дубрава"" (ЗАО ""Зеленая дубрава"")"
ChIJYSDufbVMtUYRvX-x8JGpd3g;Гомеофарма предприятие ООО
ChIJOdxmBP1HtUYR1_DsidjqS1I;Алкой ООО
;"Открытое акционерное общество ""Муромский приборостроительный завод"" (ОАО ""МПЗ"")"
