place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение
ChIJU9Bp85hMtUYR4qt1JYhJibA;"Закрытое акционерное общество ""Байер"""
;"ЗАО ""Алтайстройдеталь"""
;"Областное ГУП ""Омская фармацевтическая фабрика"""
ChIJ-V3heS5ItUYRMtZ3IYkbNBg;"Открытое акционерное общество ""Национальные биотехнологии"""
ChIJG0iSYns3tUYR90htc9dQ4CU;Фармацойтише Фабрик Монтавит Гезельшафт м.б.Х.
;Тунхуа Ваньтун Фармацеутикал Сток Ко.Лтд
;Лаборатория Тютор С.А.С.И.Ф.И.А.
ChIJySgmdsZLtUYRwukLa7TaPwg;АО Варшавский фармацевтический завод Польфа
ChIJySgmdsZLtUYRwukLa7TaPwg;Варшавский фармацевтический завод Польфа АО
ChIJySgmdsZLtUYRwukLa7TaPwg;Представительство АО Варшавского фармацевтического завода Польфа
;"Федеральное государственное бюджетное научное учреждение ""Федеральный научный центр исследований и разработки иммунобиологических препаратов им. М. П. Чумакова РАН"" (ФГБНУ ""ФНЦИРИП им. Чумакова РАН"")"
ChIJIzMveudTtUYRVc59aRu00Rk;Федеральное государственное унитарное предприятие «Предприятие по производству бактерийных и вирусных препаратов Института полиомиелита и вирусных энцефалитов им. М.П. Чумакова РАМН (ФГУП «ПИПВЭ им. М.П. Чумакова ФГУП РАМН»)
;"ООО ""Генесс"""
;МСД Консьюмер Кэр, Инк.
;МСД Консьюмер Кэр, Инк
ChIJu4nq5OHPSkERVN5v6SzNWAI;"ОАО ""Тюменский химико-фармацевтический завод"""
;Харбин Фармасьютикал Груп Ко.Лтд, Дженерал Фарм.фэктори
ChIJ3QjENPW0SkER_g3YiCV1g-M;Меда АБ
ChIJ4xjzpN1LtUYR7rOz674wlMY;Берлин-Хеми АГ
ChIJm5FQtSFLtUYRcLjIkK1z0wI;Рекитт Бенкизер Хелскэр Интернешнл Лтд
;"Общество с ограниченной ответственностью ""Научно-технологическая фармацевтическая фирма ""ПОЛИСАН"""
;"Бюджетное учреждение здравоохранения Вологодской области ""Станция переливания крови №1"""
;"Бюджетное учреждение здравоохранения Вологодской области ""Вологодская областная станция переливания крови №1"" (БУЗ ВО ""ВОСПК № 1"")"
ChIJiU0jTOVLtUYRba9dUL-NqlA;"ЗАО ""Фирма Здоровье"""
ChIJT7_H2zxItUYR1N1ini-eKuY;Эбботт Лэбораториз С.А.
ChIJT7_H2zxItUYRdRNdSWE6NK4;Бакстер Хелскэа Корпорейшн
;"Закрытое акционерное общество ""Кубаньтехгаз"""
;"ЗАО ""Кубаньтехгаз"""
ChIJhVfXFO9OtUYRCHVVENJhZaA;"Общество с ограниченной ответственностью  ""Ависта"" (ООО ""Ависта"")"
ChIJA_KtCfJJtUYRCm1u8LmzDvc;"ОАО ""Машиностроительная компания КРАНЭКС"""
ChIJwyykEl20SkER2smT135LebI;"Открытое акционерное общество ""ПСК"" (ОАО ""ПСК"")"
ChIJK2W85QNKtUYR5Ad05nkDUsg;"ООО ""Биттнер Фарма"""
ChIJ3aIdmd1LtUYRF1J66aN6108;ГлаксоСмитКляйн Консьюмер Хелскер
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия  Лтд.
ChIJjdiqPOpJtUYR6irKP8NYbjA;Меда Фарма ГмбХ и Ко.КГ
;Сентокор Б.В.
;"ООО ""Научно-технологическая фармацевтическая фирма ""ПОЛИСАН"""
ChIJhfWSOm9KtUYRYH72tZ_QXxM;"Закрытое акционерное общество ""Ф-Синтез"" (ЗАО ""Ф-Синтез"")"
ChIJtfmJlfeySkERM8quumUoRUA;ТАД Фарма ГмбХ
ChIJIWgDCdlKtUYRE6iUnHHU6qI;"Общество с ограниченной ответственностью ""ХОМЕКСФАРМ"" (ООО ""ХОМЕКСФАРМ"")"
ChIJIWgDCdlKtUYRE6iUnHHU6qI;Мексипридол ООО
;"Зентива к.с., Чешская Республика
Zentiva k.s., Czech Republic
U kabelovny 130, 102 37 Prague 10, Dolni Mecholupy"
ChIJfXUVSz9KtUYRQNT2nzsvvmw;Зентива к.с.
ChIJz1sCl-M4tUYRREYqIbDTxxg;"ООО ""Кировская Фармацевтическая Компания"""
ChIJC-41M-lJtUYRT9fTLMOthGM;"Общество с ограниченной ответственностью ""Квадрат-С"""
ChIJvyWWyqjKSkERuDGLRwPyyeU;"""Толмар, Корп."""
ChIJd8HLVetLtUYREPyklsjd6O8;"ООО ""Вартамана Фарма"""
ChIJ055xDOdKtUYR-eYTXo8MdQQ;"Открытое акционерное общество ""Московское производственное химико-фармацевтическое объединение им. Н.А. Семашко"" (ОАО ""Мосхимфармпрепараты"" им.Н.А.Семашко"")"
;"ООО ""Харьковское фармацевтическое предприятие ""Здоровье народу"""
ChIJfXUVSz9KtUYRQNT2nzsvvmw;Зентива а.с.
ChIJ84SDy71LtUYRkJUs7Vkj2Mk;Пьер Фабр Медикамент
;"Совместное открытое акционерное общество ""Ферейн"""
ChIJ1ZcjxhRJtUYR6BNLTFnqWtk;"ООО ""РегАрд"""
ChIJaXNA0AlKtUYRzxHJj47qcZs;Московское представительство фирмы Хемофарм А.Д., Сербия
ChIJC7VhSBxLtUYRN0CgFH0ufFw;"ООО ""Криосервис"""
;"ОАО ""Киевмедпрепарат"""
ChIJcbCdxy-zSkERGRXDlVvyUFM;"Аграрно-промышленная фирма ""Фито-ЭМ"" ЗАО (ЗАО АПФ ""Фито-ЭМ"")"
ChIJd8-XTGMxtUYR3WJonXJOZkg;"ООО ""НПП Биотех БК"""
;Бракко С.п.А.
;Бракко Имэджинг С.п.А.
;Бракко Свисс СА
ChIJRyy2-nxKtUYRr2meqfHJvpw;Панацея Биотек Лтд
;"ООО фирма ""Фито-Бот"""
ChIJSRbiKDRKtUYRRtY1V-KXgmg;ПТ. Новелл Фармасьютикал Лабораториз
ChIJTWfSGvJHtUYRUsXQJ9jgI14;Ангио Медик
;Маклеодз  Фармасьютикалз Лтд
ChIJ_____x5LtUYRKg6OSobmORU;Лаборатории Сервье
ChIJDQV3Bo85tUYRQEG2NjR2PIQ;"ОАО ""Отисифарм"""
ChIJU9Bp85hMtUYR4qt1JYhJibA;"ЗАО ""Байер"""
;Хисамицу Фармасьютикал Ко., Инк.
;"Общество с ограниченной ответственностью ""Нуклеофарм"" (ООО ""Нуклеофарм"")"
ChIJ_9IdiHxOtUYRy6uyD8vQSPA;"ЗАО ""Аполлон"""
;"ОАО ""Среднеуральский медеплавильный завод"""
ChIJIdcSfMO0SkERtaYxSYeuK54;"ЗАО ""ТехГазСервис"""
ChIJXwdxGdxLtUYRllLOIM8WOvg;"Акционерное общество ""Фармасинтез"" (АО ""Фармасинтез"")"
ChIJXwdxGdxLtUYRllLOIM8WOvg;"Открытое акционерное общество ""Фармасинтез"" (ОАО ""Фармасинтез"")"
;Меркле ГмбХ
ChIJOf5TFM27SkERYDZ8uJZVLks;"ООО ""Любергаз"""
ChIJV1xCmEJKtUYRA1eX38m8BWA;"Федеральное государственное унитарное предприятие ""Государственный научный центр ""Научно-исследовательский институт органических полупродуктов и красителей"" (ФГУП ""ГНЦ ""НИОПиК"")"
ChIJV1xCmEJKtUYRA1eX38m8BWA;"Федеральное государственное унитарное предприятие ""Государственный научный центр ""Научно-исследовательский институт органических полупродуктов и красителей"" (ФГУП ""ГНЦ ""НИОПИК"")"
ChIJyzE6kwNKtUYRF65gUCPSRKo;"ЗАО ""АКАР"""
;"Акционерное общество ""АКАР"" (АО ""АКАР"")"
ChIJiU9ttgI3tUYRCRtYWxTIE64;"ООО ""Аптека Фармикон"""
;"ОАО ""Волгоградский кислородный завод"""
ChIJW9GQoAs1tUYRRt9q929q2PQ;"ООО ""Праксайр Волгоград"""
ChIJm-cMzrhLtUYRXMTQxK4KaM0;Мерк Шарп и Доум Корп
;Фрезениус Биотех ГмбХ
;"ООО ""Париаль"""
ChIJBbilcUcxtUYRaR7QYlzl_DQ;"ООО ""Реванш"""
;"ООО ""Техгаз"""
ChIJs60Km8KtSkERvG2zW1VWZuw;"Закрытое акционерное общество ""Иван-Чай"""
;"ЗАО ""МРА"", Литовская Республика"
ChIJl4iGdHI1tUYRPpuMLBy-t98;"Акционерное общество ""ВЕРОФАРМ"" (АО ""ВЕРОФАРМ"")"
ChIJl4iGdHI1tUYRPpuMLBy-t98;"ОАО ""Верофарм"""
;Органон (Ирландия) Лтд.
;Аллерган Фармасьютикэлз Айэрлэнд
ChIJY7bLdlc3tUYR9Wv1QPydl6I;"ОАО ""Максфарм"""
;Зентива Саалык Юрюнлери Санайи ве Тиджарет А.Ш.
;"ООО ""Криотэк"""
;"ЗАО ""Фармацевтическое предприятие ""Мелиген"" (ЗАО ""ФП ""Мелиген"")"
ChIJQf5hJFtNtUYRRRt5ETR73jo;Роттафарм С.п.А.
ChIJzTufgeFKtUYRY-30R1MMne8;Ксантис Фарма Лимитед
ChIJAQDMt-NKtUYRM4Emp4K--ZI;Авентис Фарма Лтд
ChIJufkCT39LtUYRuEY0SarnYa4;"Общество с ограниченной ответственностью  ""СупраГен"" (ООО ""СупраГен"")"
ChIJl2pujPBGtUYRvof5FtiL34M;"ООО ""АЛВИЛС"""
;"Закрытое акционерное общество ""АРНО"" (ЗАО ""АРНО"")"
ChIJ-_eqJ79KtUYRiRk7RGZIhuw;"Общество с ограниченной ответственностью""АРНО"" (ООО ""АРНО"")"
;"ООО ""ТехноРемСтрой-Казань"""
;Коргем Фармасьютикалз Прайвит Лимитед
ChIJRSWvAUxMtUYRH0fs_HcF_y8;"Общество с ограниченной ответственностью ""Кислород"""
ChIJl4iGdHI1tUYRPpuMLBy-t98;"Акционерное общество ""Верофарм"""
;"Закрытое акционерное общество ""Фармпроект"" (ЗАО ""Фармпроект"")"
;Симпекс Фарма Пвт. Лтд
ChIJORk6YOBJtUYRPSWTEYIBEQ8;ПУЛЬСИОН Медикал Системс АГ
ChIJCaSdfB9LtUYRj5IGHij5VA0;Диагностик Грин ГмбХ
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;"ООО ""Агентство редких лекарств и технологий"""
ChIJ47Q-lrZLtUYRzCayGjKlQGc;Шайер АГ
ChIJnQSDtiNLtUYReMpvnlXoxqE;Эспарма ГмбХ
ChIJhZzA0A9LtUYRKNy2RR6u9uA;Шрея Лайф Сайенсиз Пвт.Лтд
;"Федеральное государственное унитарное предприятие ""Государственный научно-исследовательский институт особо чистых биопрепаратов"" Федерального медико-биологического агентства (ФГУП ""Гос.НИИ ОЧБ"" ФМБА России)"
;"ПАО ""Киевмедпрепарат"""
ChIJPwXWEyi1SkERq8Hod9dusM4;"Закрытое акционерное общество ""Научно-производственный центр ""ЭЛЬФА"" (ЗАО НПЦ ""ЭЛЬФА"")"
ChIJY8up48xItUYRcbCjYoGqLTk;"АО ""АВВА РУС"""
;"Закрытое акционерное общество ""МираксБиоФарма"" (ЗАО ""МираксБиоФарма"")"
;"Акционерное общество ""МираксБиоФарма"" (АО ""МираксБиоФарма"")"
;"ООО ""Промкислород"""
ChIJZ9LB395LtUYRM-zk3WKovNY;"Акционерное общество ""Эс Джи Биотех"""
ChIJq6qqasxEtUYR1tRvm4fQYLs;"Закрытое акционерное общество ""БИОКАД"" (ЗАО ""БИОКАД"")"
;"Открытое акционерное общество по производству технических газов имени Кима Ф.И. (ОАО ""Сибтехгаз"" им. Кима Ф.И.)"
;"Акционерное общество по производству технических газов имени Кима Ф.И. (АО ""Сибтехгаз"" им. Кима Ф.И.)"
ChIJudJR0Bs4tUYRZV2jHYvMeJU;Ф.Хоффманн-Ля Рош Лтд
ChIJj8R0LmBJtUYRKQd2I6zZh98;" ООО ""Адиком"""
ChIJjdiqPOpJtUYR6irKP8NYbjA;Мадаус ГмбХ
ChIJvyWWyqjKSkERuDGLRwPyyeU;Толмар, Корп.
;Фармасьютикал Воркс Польфарма С. А.
ChIJ7fU_PlizSkERe58hTrE18iE;"СОАО ""Ферейн"""
;"ПАО ""Луганский химико-фармацевтический завод"""
;"Общество с ограниченной ответственностью ""Йодные Технологии и Маркетинг"" (ООО ""ЙМТК"")"
;"ОАО ""Дальтехгаз"""
ChIJqSMZvmyzSkER26JolfVCckw;"Федеральное государственное бюджетное учреждение ""Российский онкологический научный центр имени Н.Н. Блохина"" Министерства здравоохранения Российской Федерации (ФГБУ ""РОНЦ им. Н.Н.Блохина"" Минздрава России, филиал ""Наукопрофи"" ФГБУ ""РОНЦ им. Н.Н.Блохина"" МЗ РФ)"
;"Научно-производственный филиал Федерального государственного бюджетного учреждения ""Российский онкологический научный центр имени Н.Н. Блохина Российской академии медицинских наук"
ChIJJwFs9GuzSkER5T5Mro_6D7M;"Федеральное государственное бюджетное учреждение ""Национальный медицинский исследовательский центр онкологии имени Н.Н. Блохина"" Министерства здравоохранения Российской Федерации (ФГБУ ""НМИЦ онкологии им. Н.Н. Блохина"" МЗ РФ)"
;"Общество с ограниченной ответственностью ""Промингаз"""
ChIJqza6o04-tUYR0TFo3Os9HiM;"Общество с ограниченной ответственностью ""Научно-производственная фирма АКАр"""
ChIJXzqZq51HtUYRtRIZtR0h0pY;"ЗАО ""Аргон"""
;"Общество с ограниченной ответственностью ""Аргон"" (ООО ""Аргон"")"
ChIJG6xAOMNZNUERW7ieCe_9-20;"ООО ""Корус Фарм"""
ChIJs47XZyM2tUYR5jYWGmks7UM;"ООО ""Фармацевтические проекты"""
;ЛФБ Биомедикамент
;Хеверт Арцнаймиттель ГмбХ и Ко.КГ
ChIJjSRsrDhKtUYRqq0n13vYoOo;"Общество с ограниченной ответственностью Фирма ""Здоровье"""
ChIJve99YoA2tUYRiJmOCp0LCxE;"ООО ""Колорит-Фарма"""
;"Закрытое акционерное общество ""Фармартис"""
ChIJbdOlltlHtUYRSHwzIyVVwgk;"ООО ""Санрайз"""
ChIJHTRqI8LKSkERuw4Luplp0K0;"Государственное бюджетное учреждение здравоохранения ""Станция переливания крови Калининградской области"""
ChIJjZCTbqVLtUYRfA9j4_iqWNQ;"Общество с ограниченной ответственностью ""Сегмента Фарм"""
;"ООО ""СтатусФарм"""
ChIJCedEf3xOtUYRxn9KcFAwt2c;"ООО ""Манас Мед"""
;"Общество с ограниченной ответственностью ""Медресурс"""
;"ЗАО ""Медимэкс"""
;"ООО ""Медимэкс"""
ChIJQSANE51ItUYR2Rifki0wxbk;Лаборатории Жильбер
ChIJ3UUKX9dMtUYR40aP8tO3EwQ;"ООО ""Виренд Интернэйшнл"""
;Фоур Вентурес Энтерпрайсез, Инк
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;"ОАО ""Борисовский завод медицинских препаратов"""
ChIJp4zGrThPtUYROpK-sA4Ypsc;"ООО ""АЗТ ФАРМА К.Б."""
ChIJo8Oi2ApNtUYRBHSUceApjh4;Люпин Лимитед
ChIJs9oQhDO2SkERjGpELySBda8;"ООО ""Саранская кислородная компания"""
;Джензайм Европа Б.В.
ChIJd22kARNKtUYR_15_VenR82g;Эбеве Фарма Гес.м.б.Х. Нфг. КГ
ChIJcxfWBLRLtUYRUD7iIwIA3TM;Ферринг Арцнаймиттель ГмбХ
ChIJgTkLbY85tUYRjy6a50nTqAQ;"Открытое акционерное общество ""Фармстандарт-Уфимский витаминный завод"" (ОАО ""Фармстандарт-УфаВИТА"")"
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Фармаплант Фабрикацион Хемишер Продукте ГмбХ
ChIJVVVVVQ5LtUYRS-Vz4kWGl10;АО Сантэн
ChIJVVVVVQ5LtUYRS-Vz4kWGl10;Сантэн АО
ChIJnYaPtiVLtUYRuK3rKkGK2U8;Альфа Вассерманн С.п.А.
ChIJ2_BSWyI1tUYRmrqJnA0RObY;Альфасигма С.п.А.
;"Открытое акционерное общество ""Красноярский машиностроительный завод"" (ОАО ""Красмаш"")"
;"Общество с ограниченной ответственностью ""Торговый дом ""Медицинский Газовый Сервис"" (ООО ""ТД ""МедГазСервис"")"
ChIJ30Hy2PtOtUYRwCnaSntJXBw;К.О. Ромфарм Компани С.Р.Л
ChIJQ0xuCHJKtUYR0JugUbCORF0;"Общество с ограниченной ответственностью ""Промомед Холдингс (Сайпрус) Лимитед"""
;"Общество с ограниченной ответственностью Межфермерское предприятие ""Кислород"" (ООО МФП ""Кислород"")"
ChIJSefogZhLtUYRt0-leiY5nVo;Такеда Фарма А/С
;Такеда Глобал Рисёч энд Девелопмент Сентэ (Юроп) Лимитед
;"Закрытое акционерное общество ""Обнинская химико-фармацевтическая компания"" (ЗАО ""ОХФК"")"
;"ООО ""Стрин"""
;Эбер Биотек С.А.
ChIJN5oxUnW0SkERWYpJ7qGYp-w;Джодас Экспоим Пвт.Лтд
ChIJYV2CHMBMtUYR0IVf8yaMvVs;Каринофарм ГмбХ
;Янссен-Силаг Интернейшнл Н.В.
ChIJxXBVLTI4tUYR4X5FxnBH2Uc;"Общество с ограниченной ответственностью ""Технические Газы"" (ООО ""Технические Газы"")"
ChIJQ0xuCHJKtUYR0JugUbCORF0;"Компания с ограниченной ответственностью ""Промомед"""
;Промомед Редуксин Холдингс (Сайпрус) Лимитед ООО
;Ферринг-Лечива а.с.
;Лаборатории Медис С.А.
;"Общество с ограниченной ответственностью ""Ковровский газовый завод"" (ООО ""Ковровский газовый завод"")"
ChIJmQ8V04tMtUYRFpGAOkerCvc;Хамельн фарма плюс гмбх
;"Открытое акционерное общество ""Автогенный завод"""
ChIJqapo7AmxSkEReBZzmJ0T0VU;"ЗАО ""Фирма ""Евросервис"""
ChIJB4F09IJJtUYRGlmJbvZ62vE;Бакстер АГ
ChIJaf1kOxBNtUYRQuW1cp98ydw;"ЗАО ""Фарм-Холдинг"""
;СиЭсЭл Беринг АГ
ChIJi9W-h1pKtUYRVjry2w6zFLA;"ООО ""Индукерн-Рус"""
ChIJITU6Ti-zSkEREcJQfX75OXU;"ЗАО ""Партнер"""
;"Общество с ограниченной ответственностью ""Пиэлджи"" (ООО ""Пиэлджи"")"
;Такеда Фармасьютикалс США, Инк.
;Такеда Фармасьютикалс США Инк
ChIJLVYjKF6ySkEROHZmLPVFRMo;Савафарм ООО
;"Общество с ограниченной ответственностью ""Гротекс"" (ООО ""Гротекс"")"
;Мустафа Невзат Илач Санаи А.Ш.
ChIJy-bQBsI3tUYRBRu9EP_WdyY;Комплект Сервис ООО
ChIJl8fvfGArtUYRVxUHtIlVE4g;"ОАО ""Бофарм"""
ChIJx6HjqeFKtUYR2SgYGrfncHk;"ОАО ""Новолипецкий металлургический комбинат"""
ChIJVfCPrjhPtUYR5sNyaIHO2Ec;"Федеральное государственное бюджетное учреждение ""Российский кардиологический научно-производственный комплекс"" Министерства здравоохранения Российской Федерации"
ChIJ9U2frUM0tUYRf6JtzAQZKlg;"Общество с ограниченной ответственностью ""Атолл"""
;Ферринг Лечива а.с.
ChIJb5YieAlMtUYRC59u2Jeuyhg;"Закрытое акционерное общество ""Эвалар"""
;БиоМарин Интернэшнл Лимитед
ChIJAQDMt-NKtUYRM4Emp4K--ZI;Санофи
ChIJC28lEiZNtUYRbVf3ZCSZc0o;"ООО ""Фармапарк"""
ChIJCze00SBItUYRJ5ABtBVe3vc;"ООО ""Март"""
ChIJNzgXIn9KtUYRwM2AKC_T2n0;"ООО ""Авис Рус"""
ChIJA0eVtyDQSkERGe7g1MFzr74;"ОАО ""Завод химреактивкомплект"""
ChIJA0eVtyDQSkERGe7g1MFzr74;"АО ""Завод химреактивкомплект"""
ChIJEQXULKw3tUYRVz37l5kMRtQ;"ООО ""АПГ"""
ChIJ7fU_PlizSkERe58hTrE18iE;"Закрытое акционерное общество ""Брынцалов-А"""
ChIJDQtEIfRMtUYRgJHulymdiQw;"ЗАО ""Сальское РТП"""
;"Публичное акционерное общество ""Биохимик"" (ПАО ""Биохимик"")"
;"ООО ""Метигринс"""
;Норджин Б.В.
ChIJRyy2-nxKtUYRr2meqfHJvpw;Грюненталь ГмбХ
ChIJscG0kuFKtUYRywa8D-W3Bt0;Санофи Пастер Инк.
;"Общество с ограниченной ответственностью ""Формула-ДВ"" (ООО ""Формула-ДВ"")"
;"ООО ""ЭвоФарм"""
ChIJz0tiKuBKtUYRnRcew47qre0;Ферринг Интернешнл Сентер С.А.
ChIJQeD8TDyzSkERookfhrZrnLg;"АО ""Гриндекс"""
ChIJQeD8TDyzSkERookfhrZrnLg;"ООО ""Гриндекс Рус"""
;"ООО ""Кислородмедснаб"""
ChIJTeJ8fHlJtUYR-UM8L-_p3Ns;"ООО ""Сэлвим"""
ChIJTeJ8fHlJtUYRph3-WfCZw5E;ДЖИЛЕСАНТО ХОЛДИНГС Лтд.
ChIJOZlzXf5ItUYRt15PvD7PTpM;"Закрытое акционерное общество ""Р-Фарм"" (ЗАО ""Р-Фарм"")"
ChIJOZlzXf5ItUYRt15PvD7PTpM;"АО ""Р-Фарм """
ChIJq6qqasxEtUYR1tRvm4fQYLs;"Закрытое акционерное общество ""Биокад"""
;Нирма Лимитед
;Акулайф Хелскеа Пвт. Лтд.
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Санофи-Авентис де Мексико С.А. де С.В.
ChIJ98uRSrhMtUYR2XDNr6N-2Y0;ВЕТПРОМ АД
;"ООО ""Хакасский медицинский кислород"" (ООО «Хакасмедкислород»)"
ChIJU-QAiU83tUYRejtFF2Lz30s;"ООО ""Провайдер"""
ChIJlcletYtKtUYRog86zzoytRk;"ООО ""Азот"""
;"ООО ""Газтех"" [Кострома]"
;"Общество с ограниченной ответственностью ""БиоИнтегратор"""
;"ООО ""БиоИнтегратор"""
;"Открытое акционерное общество ""Усолье-Сибирский химико-фармацевтический завод"" (ОАО ""Усолье-Сибирский химфармзавод"")"
ChIJ33FmvKBLtUYRX-HE67N06w0;"ООО ""Гамма"""
;"ООО ""Белкриосервис"""
ChIJlzLdmXI1tUYRBiew_KjivSo;"ООО ""Сервис МЛТ"""
;ООО Южно-Сахалинское монтажное управление «Дальэнергомонтаж» (ООО Южно-Сахалинское МУ «ДЭМ»)
ChIJnYaFmsdJtUYRilxSVRbViZ4;"Закрытое акционерное общество ""Форсайт"""
ChIJ1xKKCBZLtUYRGwyX_KhLurQ;"Общество с ограниченной ответственностью ""ЕСКО Фарма"""
;МСН Лабораториз Пвт.Лтд
;"Общество с ограниченной ответственностью ""ПРАНАФАРМ"" (ООО ""ПРАНАФАРМ"")"
;"Общество с ограниченной ответственностью ""Криосервис"" (ООО ""Криосервис"")"
;"Общество с ограниченной ответственностью ООО ""Кислород Сервис Фарм"" (ООО ""Кислород Сервис Фарм"")"
ChIJqSMZvmyzSkER26JolfVCckw;"Научно-производственный филиал Федерального государственного бюджетного научного учреждения ""Российский онкологический научный центр имени Н.Н. Блохина"""
ChIJbxkcGdxLtUYR77Fz-q1KnTU;"Акционерное общество ""Фармасинтез-Норд"""
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;"ЗАО ""АрСиАй Синтез"""
ChIJM9szLLqtSkERywPbkwQz5kc;"ЗАО ""ФПК ""ФармВИЛАР"""
ChIJRT2Qufa_SkERhfNQXMqgD-M;"ООО Предприятие ""Газсервис"""
;"ООО Производственное объединение ""Тверьгазсервис"""
;Мундифарма ГмбХ
;Мундифарма Гес.м.б.Х
ChIJN5oxUnW0SkERWYpJ7qGYp-w;"Общество с ограниченной ответственностью ""Джодас Экспоим"""
ChIJCZBxI9xKtUYR4v5VFLNrjEs;"Федеральное бюджетное учреждение ""Государственный институт лекарственных средств и надлежащих практик"" (ФБУ ""ГИЛС и НП"")"
ChIJe9lry-dNtUYRw9X36ILhKBQ;Фортьюн Мед ООО
;С К Медитек Прайвит Лимитед
ChIJEfI83jhLtUYRGIhGve17gI0;Квайссер Фарма ГмбХ и Ко.КГ
;Нордик Груп Б.В.
ChIJcWTIzMtItUYRsMzR_m-qC_s;"Закрытое акционерное общество ""ГлаксоСмитКляйн Трейдинг"""
;Оасмия Фармасьютикал АБ
;Цефак КГ
ChIJg9eeVcBLtUYR0NDBe9mMyQo;"Закрытое акционерное общество ""Рафарма"""
;"ООО «СпецХимТранс» (ООО ""СХТ"")"
ChIJn3cP_wlItUYRldPKafnyL8k;"ЗАО ""Окси"""
ChIJSxwIPiNKtUYRsictDiq8bkw;Селджен Интернешнл Сарл
ChIJSxwIPiNKtUYRsictDiq8bkw;Селджен Интернэшнл Сарл
ChIJD1qjE9lKtUYR0Fo0WCYjxgc;Х. Лундбек А/О
ChIJr07i74pOtUYRafpQveK-aZs;Новатор Фарма ЛЛП
;"ГБУ Республики Коми ""Главное Управление материально-технического обеспечения здравоохранения Республики Коми"" (ГБУ РК «ГУМТОЗРК»)"
;"Общество с ограниченной ответственностью ""Фармактив"""
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Гидимас ЗАО
ChIJdSEYlgbISkERLJO-ZvcrfjY;"ООО ""Технические Газы"""
ChIJl2pujPBGtUYRvof5FtiL34M;"ООО ""Алвилс"""
ChIJH8wNpBJNtUYR5FcwAtt8qFc;ДжиИ Хэлскеа АС
;Фотокьюэ АСА
;"ООО ""Челябтехгаз"""
;"Общество с ограниченной ответственностью  ""Научно-исследовательский институт Медицины и стандартизации"" (ООО ""Научно-исследовательский институт Медицины и стандартизации"")"
;"Открытое акционерное общество ""Новосибхимфарм"""
;Таежун Фарм.Ко.Лтд
ChIJ7x641Wu0SkERlMJoMP09Pi8;Рона ООО
;"ООО НПП ""БиоВетТехнологии"""
;Селлтрион Хэлскеа Ко.Лтд
;"Открытое акционерное общество ""Станция выработки промышленного кислорода"" (ОАО ""СВПК"")"
ChIJJ8OtDSBKtUYR1vvor6hLTaE;"ООО ""Гиппократ"""
ChIJF-Pu0AhKtUYRMRDoV0f0WPI;"Акционерное общество ""АЛСИ Фарма"" (АО ""АЛСИ Фарма"")"
;"Общество с ограниченной ответственностью ""Тиарекс"""
;"ООО ""Тиарекс"""
;"ООО ""Бактэр"""
;Альберт Дэвид Лимитед
;"ЗАО ""Актива"""
ChIJh5D3XkHJSkERlTDYYs0NaxE;"Промышленная химико-фармацевтическая компания  открытое акционерное общество ""Медхимпром"" (ОАО ПХФК ""Медхимпром"")"
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"""
ChIJWXd2B5jKSkERkzPRWNj0MCo;"Общество с ограниченной ответственностью ""Биоцентр"" (ООО ""Биоцентр"")"
ChIJp-ivQzO1SkERD45vqXVOI_Q;"Общество с ограниченной ответственностью ""Российская фармацевтическая компания ""Фарма"""
ChIJbak4Lau1SkERJyXP4-uMiPY;"ООО ""Биона"""
;Бэйцзин Юнион Фармасьютикал Фэктори
ChIJVx0QfDLLSkER9ipPlmNzLsQ;"Общество с ограниченной ответственностью ""Тривиум-XXI"" (ООО ""Тривиум-XXI"")"
;"ООО ""Тривиум-ХХ"""
;"ООО ""Нефтеюганскпромсервис"""
ChIJV1AyMgxMtUYR5BYYgSgyc9Q;"Общество с ограниченной ответственностью ""Сфера-Фарм"" (ООО ""Сфера-Фарм"")"
ChIJHQmDXeEUtUYRP-KgtFu-14o;"ООО ""Промгаз"""
;Юни-Фарма Клеон Тсетис Фармасьютикал Лаборапторис С.А.
ChIJC5U4GoA1tUYRoZovpZ-wfjI;Полихем С.А.
;"Закрытое акционерное общество  ""Удмуртская коммерческая компания"" (ЗАО УКК)"
;Адамед Консьюмер Хелскеa АО
;Адамед Консьюмер Хелскеа АО
ChIJM22XSIqtSkER-qJ76B2oIE0;"ООО ""БС Технология"""
;Биоген Айдек Лимитед
ChIJnZZW2yFLtUYRwTUBIjKkST4;"Общество с ограниченной ответственностью ""Герофарм"""
ChIJ3aIdmd1LtUYRF1J66aN6108;Нордик Фарма с.р.о.
;Альвоген ИПКо  С.а.р.л.
;Уорлд Медицин Илачлары Лтд. Шти.
