place_id;place_was_nullated;place_no_end;place_time;place_size;Юридическое лицо, на имя которого выдано регистрационное удостоверение
ChIJ2_BSWyI1tUYRmrqJnA0RObY;1.0;0.8333333333333334;1826.0;6;Альфасигма С.п.А.
ChIJ2yXt3UZNtUYRtV3Jor6xIPM;0.16666666666666666;0.0;1826.0;6;Биореактор ООО
ChIJ3-JqYa_LSkERR4ryvgC19bg;1.0;1.0;;1;Шюльке и Майр ГмбХ
ChIJ30Hy2PtOtUYRwCnaSntJXBw;1.0;0.3384920634920635;1826.4128205128204;67;К.О.Ромфарм Компани С.р.Л.
ChIJ32WImj02tUYRgZrN0dotHjg;1.0;1.0;;3;"Общество с ограниченной ответственностью ""Центр иммунотерапии ""Иммунохелп"" (ООО ""ЦИ ""Иммунохелп"")"
ChIJ33FmvKBLtUYRX-HE67N06w0;1.0;0.0;1826.0;1;"ООО ""Гамма"""
ChIJ346hXzBKtUYRgbNAwtF4kr4;1.0;1.0;;3;"ООО Медицинская Корпорация "" РАНА"""
ChIJ380aAk1ItUYRx2xyZEUYepk;1.0;0.0;1826.0;1;Хай Тех Фарм. Ко.Лтд
ChIJ38l8tqJOtUYRpxZ50QLsIqo;1.0;1.0;;3;"ООО ""Инитиум-Фарм"""
ChIJ3QjENPW0SkER_g3YiCV1g-M;0.75;0.5;1826.0;4;Меда АБ
ChIJ3UUKX9dMtUYR40aP8tO3EwQ;1.0;0.125;1826.0;8;"ООО ""Виренд Интернэйшнл"""
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;0.8751758181328159;0.5453534468773137;1750.051282051282;542;КРКА, д.д., Ново место, Словения
ChIJ3Vw1Vm9NtUYRZaxBRnQIIKA;1.0;0.6666666666666667;1826.0;26;Доктор Вильмар Швабе ГмбХ и Ко.КГ
ChIJ3Vw1Vm9NtUYRzT_Y8pBkAfg;1.0;0.7466666666666667;1826.4166666666667;39;Немецкий Гомеопатический Союз ДХУ-Арцнаймиттель ГмбХ и Ко.КГ
ChIJ3_b-tWVKtUYRG6HzNW_J0Ik;1.0;1.0;;5;Унифарм АО
ChIJ3aIdmd1LtUYRF1J66aN6108;0.8885780885780886;0.9344306100403661;1826.3214285714284;146;Нордик Фарма с.р.о.
ChIJ3abSqGRKtUYRIFnzLupS77o;1.0;1.0;;1;ООО «Буарон»
ChIJ3anQmFrHSkERHxrvpgZiFi4;1.0;1.0;;2;Международный центр медицинской пиявки ЗАО
ChIJ3c2zi59NtUYRkcMQBKd0U9I;1.0;1.0;;5;"ЗАО ""Институт фармацевтических технологий"""
ChIJ3cdO4_YitUYR1bzDyBHXDZ4;1.0;1.0;;1;Фитасинтекс ООО
ChIJ3dmEX3VJtUYRGmeEspH2iDI;1.0;1.0;;5;Вируд ГмбХ
ChIJ3yTFYkw4tUYRd4aIF6HTOpc;1.0;1.0;;3;"Общество с ограниченной ответственностью ""Лекарь"""
ChIJ3yVtE0LJSkER5dTUFzQKhew;1.0;0.9199999999999999;1826.5;47;Ретиноиды ФНПП ЗАО
ChIJ4-Ay-9pNtUYRqAtOS1OnNv8;0.9924242424242424;0.9166666666666666;1826.0;43;Корал-Мед ЗАО
ChIJ40vn4o5JtUYRimdHui9Nazo;0.5;0.0;1826.0;2;Московский научно-исследовательский онкологический институт им. П.А.Герцена
ChIJ42wbbvZKtUYRl_ETCnTBeu4;1.0;0.0;1826.0;1;"ООО ""Мариинск-газ"""
ChIJ44yfOVNUNUERU61wdaFJGV4;1.0;0.41666666666666663;1826.3333333333333;9;Рус Фарм Продукт ООО
ChIJ468HEkRItUYRo75b3N3cp2s;1.0;1.0;;1;"Федеральное государственное учреждение здравоохранения ""Центр крови"" ФМБА"
ChIJ46ta6j1KtUYRIIJzzfRxgjU;1.0;0.0;1826.0;3;ОМ Фарма
ChIJ47AWB49-FEERccQwKMJYXzM;1.0;0.0;1826.0;2;Химсинтез НПО ЗАО
ChIJ47Q-lrZLtUYRzCayGjKlQGc;1.0;0.0;1826.0;2;Шайер АГ
ChIJ49OKNolKtUYR9oByngHVIH0;0.8979591836734694;0.7755102040816326;1826.1818181818182;49;ратиофарм ГмбХ
ChIJ49kKHDy0SkERbr2Y-IZz4v4;1.0;1.0;;1;"Общество с ограниченной ответственностью ""Лан-фарм"" (ООО ""Лан-Фарм"")"
ChIJ4Q-C2dFLtUYRQeifsxMkPkY;1.0;0.8355263157894737;1826.5;42;"ООО ""Русфик"""
ChIJ4SJ7gnU3tUYRWLkAPXSWDmk;1.0;0.0;1826.0;1;Микрохирургия ООО
ChIJ4Vwh7RFYtUYR5YGLD2e7J5s;1.0;1.0;;1;Скора
ChIJ4c4CYx1KtUYR89Vw_gDG9p8;1.0;0.44021739130434784;1826.578431372549;28;"Общество с ограниченной ответственностью ""Нанолек"" (ООО ""Нанолек"")"
ChIJ4eb26DpKtUYRcXW-XP4jE1Y;1.0;0.8;1826.0;5;"ООО ""Вета-Гранд"""
ChIJ4futqrdLtUYRIT4BvUFnibM;0.0;0.0;1826.0;1;АТК ЗАО
ChIJ4fyz2bNLtUYRT37KnmZUJJc;1.0;0.6666666666666666;1547.0;10;"Общество с ограниченной ответственностью  ""Научно-исследовательский институт Медицины и стандартизации"" (ООО """"Научно-исследовательский институт Медицины и стандартизации"")"
ChIJ4w5Mw8bU3UMRTRqwLhVueGA;0.9644444444444444;0.7122222222222222;1819.3690476190477;140;АстраЗенека ЮК Лтд
ChIJ4weGeDiySkERhqDKPJepqOI;1.0;1.0;;14;"Общество с ограниченной ответственностью ""Медицинский научно-производственный комплекс ""БИОТИКИ"" (ООО ""МНПК ""БИОТИКИ"")"
ChIJ4xjzpN1LtUYR0ZlLBxiSWAc;0.5727272727272728;0.15757575757575756;1826.2428571428572;71;Эли Лилли энд Компани Лимитед
ChIJ4xjzpN1LtUYR7rOz674wlMY;0.971229293809939;0.6342744729841504;1779.4509803921567;81;"Общество с ограниченной ответственностью ""Берлин-Хеми/А. Менарини"""
ChIJ4xjzpN1LtUYRDv4p0PPL69Y;1.0;0.8045112781954887;1826.3846153846155;134;Пфайзер Инк.
ChIJ4xjzpN1LtUYRiwQ07viSsBg;0.0;1.0;;1;Лилли Франс
ChIJ4zYSmhOoSkERS3QWboOmrZg;0.9285714285714286;0.6882352941176471;1826.3333333333333;66;ЗиО-Здоровье ЗАО
