place_id;Иностранцы;Россия;контрафактное ЛС;недоброкачественное ЛС;незарегистрированное ЛС;оригинальное ЛС;сомнительное ЛС;фальсифицированное ЛС;Партия;Брак поставщика (подтвержден);Брак производителя (изъятие без уничтожения);Брак производителя (партия);Брак производителя (территория);Брак производителя Россия;Изменение;Изъятие;Изъятие незарегистрированного ЛС;Изъятие по неподтвержденной декларации;Контрафакт;Незаконный ввоз;О переводе на предварительный контроль;Отзыв;Отзыв деклараций о соответствии;Отзыв производителем;Отзыв производителем (Ф/С);Отзыв производителем партии;Ошибка репортера;Прекращение обращения;Приостановление;Приостановление реализации;Разрешение (партия);Разрешение (серия);Разрешение реализации;Фальсификация;Фальсификация (изъятие по признакам);Фальсификация полное изъятие;Фальсификация приостановление;place_total_letters
ChIJ4c4CYx1KtUYR89Vw_gDG9p8;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
ChIJ4w5Mw8bU3UMRTRqwLhVueGA;1.0;0.0;0.3064516129032258;0.25806451612903225;0.016129032258064516;0.0;0.3870967741935484;0.03225806451612903;0.12903225806451613;0.0;0.0;0.0;0.016129032258064516;0.0;0.016129032258064516;0.43548387096774194;0.0;0.0;0.14516129032258066;0.0;0.0;0.03225806451612903;0.0;0.0;0.0;0.0;0.0;0.0;0.03225806451612903;0.03225806451612903;0.0;0.016129032258064516;0.016129032258064516;0.0;0.0;0.016129032258064516;0.24193548387096775;62.0
ChIJ4xjzpN1LtUYR0ZlLBxiSWAc;1.0;0.0;0.0;0.5;0.0;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;8.0
ChIJ4xjzpN1LtUYR7rOz674wlMY;1.0;0.0;0.01694915254237288;0.5423728813559322;0.0;0.00847457627118644;0.4322033898305085;0.0;0.0;0.0;0.01694915254237288;0.0;0.06779661016949153;0.00847457627118644;0.0;0.03389830508474576;0.0;0.0;0.025423728813559324;0.0;0.0;0.01694915254237288;0.0;0.3983050847457627;0.0;0.0;0.0;0.0;0.03389830508474576;0.00847457627118644;0.0;0.03389830508474576;0.0;0.07627118644067797;0.03389830508474576;0.1271186440677966;0.11864406779661017;118.0
ChIJ4xjzpN1LtUYRiwQ07viSsBg;1.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0
ChIJ4zYSmhOoSkERS3QWboOmrZg;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
ChIJ53bpiXtLtUYRz3pcucix9QQ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
ChIJ553K2LZEtUYRhzbykHhrmtA;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
ChIJ5S90l9lHtUYRQPEZB5y2zIY;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
ChIJ5V0ZeAXASkERE6483URya6Y;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
ChIJ5XVxn8JKtUYRczn69jOkjv4;1.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.030303030303030304;0.0;0.24242424242424243;0.030303030303030304;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12121212121212122;0.0;0.0;0.12121212121212122;0.12121212121212122;0.030303030303030304;0.06060606060606061;0.06060606060606061;33.0
ChIJ5yzpDWHKSkERIxXsUvrW6Fw;0.0;1.0;0.0;0.96875;0.0;0.03125;0.0;0.0;0.0;0.0;0.0234375;0.0;0.1484375;0.703125;0.0;0.0078125;0.0;0.0;0.0;0.0;0.0;0.03125;0.0;0.0390625;0.0;0.0078125;0.0;0.0;0.0234375;0.0;0.0;0.0;0.0;0.0;0.015625;0.0;0.0;128.0
ChIJ65qH_ec5tUYRyqbFA00vVqM;0.0;1.0;0.0;0.9642857142857143;0.0;0.03571428571428571;0.0;0.0;0.03571428571428571;0.0;0.0;0.0;0.17857142857142858;0.10714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08035714285714286;0.03571428571428571;0.16071428571428573;0.0;0.03571428571428571;0.0;0.017857142857142856;0.25;0.08928571428571429;0.0;0.008928571428571428;0.03571428571428571;0.0;0.0;0.0;0.0;112.0
ChIJ6VPxt6NLtUYR3XgwKqK4w34;0.0;1.0;0.0;0.7553956834532374;0.0;0.0;0.2446043165467626;0.0;0.0;0.0;0.03597122302158273;0.0;0.34532374100719426;0.14388489208633093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02158273381294964;0.0;0.06474820143884892;0.2446043165467626;0.06474820143884892;0.0;0.0;0.050359712230215826;0.02877697841726619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;139.0
ChIJ6XDCYZZLtUYRvlYlAN8f6GQ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.2;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
ChIJ6xIHYka1SkERc-eFU7L6eQE;0.0;1.0;0.0;0.756838905775076;0.0;0.23556231003039513;0.007598784194528876;0.0;0.004559270516717325;0.0;0.0060790273556231;0.0;0.09574468085106383;0.06382978723404255;0.001519756838905775;0.004559270516717325;0.0;0.0;0.0;0.0;0.0;0.2674772036474164;0.007598784194528876;0.44224924012158057;0.016717325227963525;0.00911854103343465;0.0;0.001519756838905775;0.03343465045592705;0.031914893617021274;0.0;0.00911854103343465;0.004559270516717325;0.00303951367781155;0.0;0.0;0.001519756838905775;658.0
ChIJ6zAdFaY2tUYRo2YlwzFkya4;0.0;1.0;0.0;0.9844961240310077;0.0;0.015503875968992248;0.0;0.0;0.007751937984496124;0.0;0.0;0.0;0.7751937984496124;0.11627906976744186;0.015503875968992248;0.023255813953488372;0.0;0.0;0.0;0.0;0.0;0.015503875968992248;0.0;0.015503875968992248;0.0;0.0;0.0;0.007751937984496124;0.007751937984496124;0.023255813953488372;0.0;0.0;0.0;0.0;0.0;0.0;0.0;129.0
ChIJ7-g75qRLtUYRUmiPP4pO2nI;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
