,name,"(0, 'place_id')",place_id
82,"Закрытое акционерное общество ""Московская фармацевтическая фабрика""",1,ChIJafQvE983tUYRPbvjlUgEH3o
83,Московский эндокринный завод ФГУП,1,ChIJBW-HVze1SkERmWo9580bjhU
84,Фармаген ЗАО,1,ChIJJWcQBftOtUYRImaibzX5718
85,Новосибирская фармфабрика ОАО,1,
86,Лек С - Фирма ООО,1,ChIJ89412GU1tUYR_1lUZ3lrKAo
87,Микроген НПО ФГУП [Московское подразделение по производству бактерийных препаратов],1,ChIJieZTUhNKtUYR-gKL6naxjzU
88,Фито-Эм аграрно-промышленная компания ЗАО,1,ChIJX-GjkfRKtUYRT2MJ1rtMOsg
89,Старт-Фито ООО,1,ChIJ9Sy8AeHKSkER2Koegq87fno
90,Бэгриф ООО,1,ChIJF53-kWizSkERxmOI5Y_dSAM
91,Фармапол-Волга ООО,1,ChIJVVVlpAJItUYRmF7ec3ljIjY
92,Белгородская областная станция переливания крови,1,ChIJHTRqI8LKSkERuw4Luplp0K0
93,Самарамедпром ОАО,1,ChIJ65qH_ec5tUYRyqbFA00vVqM
94,Аптечный склад Рязань-Фармация ГУП,1,ChIJ-zHoPnZJtUYR8D_m_FLE-Ec
95,Фитасинтекс ООО,1,ChIJ3cdO4_YitUYR1bzDyBHXDZ4
96,Кировская фармацевтическая фабрика ОГУП,1,
97,Санкт-Петербургский НИИ вакцин и сывороток и предприятие по производству бактерийных препаратов ФГУП ФМБА,1,ChIJw6CGOPCxSkERZdlGuKq0HOk
98,Щелковский витаминный завод ОАО,1,ChIJY83Q7CrTSkER4MHnT6ofxlc
99,Брынцалов-А ЗАО,1,ChIJ7fU_PlizSkERe58hTrE18iE
100,Омская фармфабрика ОГУП,1,
101,Ростовская фармфабрика ЗАО,1,ChIJv0hf4BJLtUYRK4WAOJkwknA
102,ЭХО НПК АОЗТ,1,ChIJoQoEejBNtUYRRBUuwmAtndY
103,Дальхимфарм ОАО,1,ChIJeZc7yh21SkERx5trQmeTwnI
104,Эмпилс-Фох ЗАО,1,ChIJSwO4aDNPtUYR0ZfngcBhfqs
105,Фармзащита НПЦ ГП,1,ChIJFfC6-Ck5tUYR8_cDq_aEqeI
106,Опытное производство института биоорганической химии,1,ChIJBb2QJkBNtUYRebKm_xR9Qto
107,"Институт фармакохимии АН Грузии, Экспериментально-производственная база",1,
108,Тюменский ХФЗ ФГУП,1,
109,Центрально-Европейская Фармацевтическая Компания ЗАО,1,ChIJhQKLHKU0tUYRaHeyPDvI1Rk
110,Российский инсулин ОАО,1,
111,Станция переливания крови Департамента здравоохранения ГУЗ [Москва],1,ChIJOSKTeoVJtUYR12LFZtXzGl4
112,ГНИИ стандартизации и контроля лекарственных средств МЗ России,1,ChIJ_azY-UFKtUYRJBoxtt0-N8g
113,Фармсинтез ЗАО [Ленинградская обл.],1,ChIJQfKgeJ1MtUYRLq6ZOMSCko4
114,ПОЛИСАН НТФФ ООО,1,
115,Пульмомед ЗАО,1,ChIJ0RgjeQ5LtUYRa85IpR6Gpps
116,Роскарфарм АО,1,ChIJsygL9UIUtUYRsYlUQqhOn8U
117,Олло ООО,1,ChIJ6zAdFaY2tUYRo2YlwzFkya4
118,Абиес НПФ ООО,1,
119,Фармстандарт-Лексредства ОАО,1,ChIJgTkLbY85tUYRjy6a50nTqAQ
120,Оболенское - фармацевтическое предприятие ЗАО,1,ChIJQ4S7OhE1tUYRsayopXzdjU4
121,"ОАО ""Усолье-Сибирский химико-фармацевтический завод""",1,
122,Диафарм ООО,1,ChIJi6ZBTB62SkER3-M_hvAaMRQ
123,Микрохирургия глаза НЭП ООО,1,ChIJMakVf4E3tUYRknWjlz256fc
124,Веда Лаб,1,ChIJuYVTQ9gstUYRwJ72mpK9FFE
125,Люми ООО [Санкт-Петербург],1,ChIJHw5Hh-FLtUYRNtFLIxpRoNs
126,Микроген НПО ФГУП МЗ РФ,1,ChIJ082evx9LtUYRfteuOWQcgD8
127,ВИЛАР,1,ChIJfc2KK7qtSkERWtrM9ERpOXg
128,Славянская аптека ООО,1,ChIJ5yzpDWHKSkERIxXsUvrW6Fw
129,Репромед ООО,1,ChIJe8zJA_RKtUYRMCov3MJlU4A
130,Тонар НПФ ТОО,1,
131,Троицкий йодный завод ГУП,1,
132,"Закрытое акционерное общество ""Алтайвитамины""",1,ChIJ2SpUsga1SkERkoTo0jrOvyA
133,"ФГУ ""Российский кардиологический научно-производственный комплекс"" Министерства здравоохранения и социального развития Российской Федерации - Экспериментальное производство медико-биологических препаратов",1,ChIJVfCPrjhPtUYR5sNyaIHO2Ec
134,"Акционерное общество ""Химико-фармацевтический комбинат ""АКРИХИН"" (АО ""АКРИХИН"")",1,ChIJu4nq5OHPSkERVN5v6SzNWAI
135,"Открытое акционерное общество ""Валента Фармацевтика""",1,ChIJY83Q7CrTSkER4MHnT6ofxlc
136,"ОАО ""Новосибхимфарм""",1,
137,"Открытое акционерное общество ""Верофарм""",1,ChIJl4iGdHI1tUYRPpuMLBy-t98
138,"Открытое Акционерное Общество ""Дальхимфарм""",1,ChIJeZc7yh21SkERx5trQmeTwnI
139,"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским  иммунобиологическим препаратам «Микроген» (ФГУП ""НПО ""Микроген"")",1,ChIJieZTUhNKtUYRlHpcqUkqDTE
140,"ООО  ""Гомеопатическая фармация""",1,ChIJvQnrW6JNtUYRwjt0F_xZ-Zw
141,"ООО ""ОЛЛО""",1,ChIJ6zAdFaY2tUYRo2YlwzFkya4
142,"Открытое акционерное общество ""Акционерное Курганское общество медицинских препаратов и изделий ""Синтез"" (ОАО «Синтез»)",1,ChIJTyK6ImA5tUYRQLQBzlUGo5Q
143,"Открытое акционерное общество ""Московское производственное химико-фармацевтическое объединение им. Н.А.Семашко""",1,ChIJ055xDOdKtUYR-eYTXo8MdQQ
144,"Закрытое акционерное общество Фирма ""Здоровье""",1,ChIJ4zYSmhOoSkERS3QWboOmrZg
145,"Открытое акционерное общество ""Красфарма""",1,ChIJsQrpg-dKtUYR-HoJoprREHs
146,"Закрытое акционерное общество Фармацевтическое научно-производственное предприятие ""Ретиноиды""",1,ChIJ3yVtE0LJSkER5dTUFzQKhew
147,"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения и социального развития Российской Федерации (ФГУП ""НПО ""Микроген"" Минздравсоцразвития России)",1,ChIJ082evx9LtUYRfteuOWQcgD8
148,Закрытое акционерное общество «Фармацевтическое предприятие «Оболенское» (ЗАО «ФП «Оболенское»),1,ChIJQ4S7OhE1tUYRsayopXzdjU4
